block_number,sender,to,amount0,amount1,timestamps
16841643,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,3634060,840221939089450601419403,1626243622
16857460,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,4281293,976879269548002808971673,1626282802
16858052,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,3299998,750486130837958097927045,1626284282
16860612,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,4019991,887176159152513582995768,1626291141
16860724,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb4b1BeDc6fCD4064182e6f6402e72c9599520000,7499999,1650417949723042436784412,1626291391
16860928,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,2829986,598940624970625452970135,1626291947
16861096,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,4509989,935714606069568629740993,1626292543
16861120,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,3999998,828491818002828007087069,1626292595
16930000,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,7101686,1448020093055391449313621,1626454808
16930081,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,499998,101830314699282522854968,1626454974
16930280,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,3900000,790809580139702833536595,1626455512
16930570,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,12101682,2453879331729146559826008,1626456112
16930791,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,10215316,2065147119186659914892887,1626456694
16930893,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8048Cd1D28b9be7215f9A4C675D9d473d1DaB58c,10620373,2133814829198649200755780,1626456906
