block_number,sender,amount0,amount1,timestamps
14185626,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,32094798212037647140,520906437192482100291,1620356587
14287721,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,132122082470896440,1949886510513943452,1620572920
14401152,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,20967170469506178,366535152490402019,1620819028
14565144,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,26814256846008745800,464024912056145405953,1621170402
14583942,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,116934125200031018,1950221676381559044,1621211044
14779200,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17680054697636718,220327396602078735,1621644609
14986103,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2832390087540846595,35866666038782361638,1622107534
15011014,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1671468030321255230,19914603580217996659,1622160726
15403367,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8846273443853082289,101399436664789521227,1622985957
16112047,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,248502769432669811,1741587573332854668,1624578192
16139665,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,40315100700300067441,252445790753971827987,1624639170
16210107,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10493544211571643453,71805441501845766412,1624800152
16410856,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,29586199200788052709,215827792944195651386,1625244117
16525277,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17880562909481539,131217198203417816,1625492887
16802298,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1532919456810559665,11591602147815515158,1626145978
16895193,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,64216590027786766,427543779628581010,1626372790
17449766,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27834015817179214023,229676679306331271586,1627711586
18794446,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2355610433876117101,32901081649887022791,1630896262
18853500,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,863856268127608696,9999999999999999993,1631034270
19374327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,135316617558495814,1304935992995642874,1632288819
19819550,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7489003835198159,78013005343364482,1633319644
20069812,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19155280766352967440,205991236864504245403,1633886476
20355049,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,123787464563087127,1325850421935963922,1634583963
20538043,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,94320713124845493,1010976142191122849,1635028174
20578608,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,355266701785509556,3736508234027939066,1635124627
20587457,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,54919810193030728,582989179172643872,1635146414
20588436,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,55392472216158314,589380279637522404,1635148706
20608672,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,250377784224012043460,2642736578869433442922,1635196407
20748344,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,668005293654753,7692504597748508,1635529501
20841283,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,56110314521374900,608912069430876457,1635734589
20898233,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1430114035131233249,17849999999999999991,1635860600
21169626,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2443688541507785360,29717393154296528084,1636463430
21414719,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10975449871585420174,115477566560754097736,1637014714
22080263,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6894708186,50384292848,1638516382
22080652,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5670141800780431773,41435558586753582371,1638517184
23014138,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,635811090789857049,4986080039440407704,1640587479
25013531,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,116960899522208930,499999999999999997,1645023585
25363478,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2512809298510415932,8293672412392221351,1645903485
25935412,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1913440351443295724,5459898332967100919,1647266272
26563761,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,217677304294179167,1075755066332927716,1648699066
