block_number,sender,amount0,amount1,timestamps
15069560,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,99999999,321299999943316669,1622281999
15445138,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11086031,29004381977455005,1623083421
15450091,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1122927209,3046328509764276728,1623094274
15804634,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,138989819,467640650217511984,1623896381
15941946,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,957796173,3827217862390248488,1624199702
16398827,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,41232675,185677770230650985,1625217606
17401795,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1998737,6544986887890919,1627587766
17451569,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,18903808,59999999327458923,1627715738
18053446,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999,2313369683231245,1629135513
19770728,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8995650,27871871096674073,1633206249
19852008,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,33494775,110702937493855799,1633396613
19852941,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2374890,7849205999130030,1633398923
19961595,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1048338,3407295569977897,1633648119
20050432,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,592130,1944372624929220,1633845051
20050526,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,587677,1929753214670183,1633845243
20067315,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5893239,19506242034622112,1633881198
20098587,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1156168,3881811203932775,1633956094
20119441,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6129,21318348974806,1634003265
20120391,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,97057,337854419865342,1634005353
20135217,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,118534,435351327762551,1634037830
20135885,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1274164,4700940829464439,1634039289
20144876,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1820743,6468376144204968,1634059881
20155698,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,48299,169839451713790,1634085973
20261246,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3104057,10207536609391204,1634343807
20329764,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,81903,267139089608824,1634518745
20347481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,15402165,51876476466281607,1634562801
20349261,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,125334,422664778593296,1634567784
20362432,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7558,25677886675157,1634603306
20459009,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,217417075,690211639601542676,1634837433
20555840,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,660825,2059618899810781,1635068600
20596354,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,473913,1534177777699172,1635167563
20596592,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7525,24363112966109,1635168065
20617601,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,39305,123556536927803,1635217588
20634344,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13593,40370209807886,1635258232
20634670,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6728,19995542068156,1635259032
