block_number,sender,amount0,amount1,timestamps
14545953,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,221948151816946993341,7454745999681949474797025245,1621129894
14555653,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6438134937830426804,205026360718164617907458180,1621150178
14583553,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3320111017430547075,110482129101113284588588278,1621210182
14618393,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,304112901663122568267,11267045585348885234575477193,1621287144
14626827,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,158056370618612585493,5828093122107599342171867056,1621305452
14643944,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6104987810798663418,382323324632357565433953992,1621343993
14644346,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,18314963432395990254,1146969973897072696301878087,1621344908
14651703,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,516371629203787175797,27198227874140983123437416955,1621361442
14662774,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,18801444890074116468,1017416887295504154447377350,1621385416
14683578,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3260542631759282563,420608964602886307082143050,1621430790
14702044,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17848830140873456234,1371629318526175091641186346,1621470589
14729040,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,330486795488172423,21641139767557877773904320,1621529481
14786389,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,509024125641294677873,35876229032997576740549270246,1621660952
14786740,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19683235050672925265,1373019796766108950899276547,1621661674
14965861,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7479849954187155,708486837777000901911343,1622065615
14967615,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,427533994601726356,40113425530941590589381695,1622069231
14986203,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19801463359241568872,2051694288479743557058487360,1622107742
15067292,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,78169665336525402,9002233929703236007592016,1622277323
15137450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,51027551757640339792,4904536750561720122569984571,1622422039
15169821,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,96683987250419876351,8862671872917949822795555437,1622489038
15173181,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,244879245008760768372,22144057119123561011606435285,1622495996
