block_number,sender,to,amount0,amount1,timestamps
24195913,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,715366875719326408300,4552667093797975850975878,1643222896
24211649,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,74495300664173920685,467373135634213656455244,1643256691
24222211,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,268087935209018310,1672771327100778636362,1643279629
24377365,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,401324648690275118059,2277618292432776708032608,1643622686
24437609,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,65820280113149942760,408969056092913392026033,1643754702
24784230,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3069703641541649989,24652203856846241324302,1644515965
24854260,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,109084053822090188738,916364257803847043079719,1644672521
25186881,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,111969524997292303701,1227587654011252837180579,1645433761
25218768,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19188608328982727957,212044229856268904704156,1645506988
25639680,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,900046642794010511,11215955645683517056151,1646554715
25711090,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,151274405413249553133,1900148505308130272338959,1646711918
25783636,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2611294500645033434,35948645943143552489022,1646871220
26012233,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,674242765567961919423,4597805065283213670583176,1647454266
26252109,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,274747933656445399375,1994093158265976301493871,1648007251
26265147,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,16627118206680404770,124240243178485082671393,1648035322
26459528,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,28304917614263995669,212584823748694048911168,1648468385
26541924,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,37019253659261865625,238324405700300994823059,1648650507
26951837,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,12445363650548184473000,88216877493287975174947915,1649557282
27040501,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100107122314228160446,755704351347886555067803,1649750801
27063007,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,734392902538536496489,5587626740816860717026153,1649799170
27099322,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27278190665091833491,194607125662453076730710,1649879634
27165069,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,343151490066608877332,2479966748359224941261894,1650022644
27169097,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61520782910440038524,477271435518734617687408,1650032040
27334243,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10349388112017165184,81959172176902869455656,1650395060
