block_number,sender,to,amount0,amount1,timestamps
16849897,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x27D9Ac294fA1889A0fb32B4e1FD10Efa3645B56a,9947956,12725111042283827399,1626264486
16852213,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8eB83E919e9ed7c0815dd94b2108e7aD79DF0043,10751575,12349353618810524897,1626270030
16852418,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x45E45E64CA0a1F93C359A783b62A59fDa1c4493b,10626471,12205657364792599822,1626270584
16853272,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF970730aaF458D2B3492253fE649383Ef1Bf88BC,1646963,1841722689950890685,1626272537
16853490,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd6775353c692CFB7fe9Bc7c2f3C63287F9585433,12734909,14669760031963149939,1626273165
16858272,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xee18b6152bd29239e6a5bFB5BFD10EabCf029154,35976408,74028267539642792071,1626284862
16860099,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8310F1EbDEd39e8A08c195b052a08444e2a75336,15860352,29599168468774091106,1626289673
16870880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8eB83E919e9ed7c0815dd94b2108e7aD79DF0043,12257262,14995903382449269850,1626315567
16876601,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcFCeFDBcc4e35AdEf28503Ac2ba711E81193F004,22042483,41884154732692112177,1626329287
16913265,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0c2B905Cfa00D2fbE74462490f3Caf2083f7fB89,43900347,98602915213487268989,1626415836
16933620,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x00F682Ed3e3A82AFDB634E7348F658679281645a,1675214,4027315375717855107,1626463450
16990592,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x564F6b2d2d3EEC864B99045De732e8839695A637,4017122,15996187309294015173,1626596170
17071687,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcFCeFDBcc4e35AdEf28503Ac2ba711E81193F004,51203028,160594820043991719604,1626787095
17119865,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcFCeFDBcc4e35AdEf28503Ac2ba711E81193F004,49177983,219285160517347769938,1626895797
17125679,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x466075f17Acc9C9C4a3749D9079312a21701DB9B,51456867,218919913745783790238,1626909125
17139927,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE79d89bb79968F8a06412805F84b75aCb40D84E9,26566402,221840239598261019682,1626946279
17140104,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x560dff5b89B68Fa2c065E6950171349296C429B2,14624694,130336108774431601975,1626946663
17140184,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5aDf6b6D3d76b318EEFFb33635EAEd415357E057,3128457,30088107940763699427,1626946937
17140864,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4F174261fB3959b49a0B434F486DCC0529eE97D7,824376,17432863529729571836,1626948469
17174474,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x466075f17Acc9C9C4a3749D9079312a21701DB9B,44981317,227587794629671500905,1627030848
17308856,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4E65c8B66C41030F78afa0Fda6aFA82E6dC34e93,33184993,173248986698102393469,1627353930
17309146,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4E65c8B66C41030F78afa0Fda6aFA82E6dC34e93,66286448,354882029719264999797,1627354712
17309484,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4E65c8B66C41030F78afa0Fda6aFA82E6dC34e93,49714836,266161522289449938053,1627355662
17314160,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4E65c8B66C41030F78afa0Fda6aFA82E6dC34e93,148952521,799626651515332185940,1627368611
17330960,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB05a74fAd5146D809b37484Df0013204289aeA5f,34289908,147279177254774165217,1627407205
17339266,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6B0DCBF21cEF9f88FD1d2720571192Ee18f0CfD4,194499758,832454677158496105139,1627426917
17340194,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8310F1EbDEd39e8A08c195b052a08444e2a75336,76893541,370062951664845079460,1627429213
17395236,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5aDf6b6D3d76b318EEFFb33635EAEd415357E057,17367715,32837538595136215270,1627572045
17396269,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4F174261fB3959b49a0B434F486DCC0529eE97D7,1933771,3932086919062178939,1627574743
17397711,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8eB83E919e9ed7c0815dd94b2108e7aD79DF0043,17423950,40420914237446496225,1627578310
17400935,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4E65c8B66C41030F78afa0Fda6aFA82E6dC34e93,206218230,527450097771131782494,1627585982
17406495,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x548FBb0C4Bf814D05B395929A0A34B831ac16719,62545076,219760073823626911404,1627598880
17409218,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x930C8eDAF5D45d9287323a59E0DB396fc5082bd3,40154971,147530888370982895717,1627605532
17409607,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcAf6F13A5A7Ad10C57e6C4e234F03924DA477263,1238036,4548591033700947265,1627606718
