block_number,sender,amount0,amount1,timestamps
16900502,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,42404759505861210612,26072565874284302,1626385631
16945723,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,36024346400251901113,20967733229059186,1626492558
17478657,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,819287518643817,517754458804,1627779837
17481582,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,610100172585862372236,386826265375943743,1627787147
18650127,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,169921063775820787759,84034405888239689,1630559782
18671868,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,404368460558900851,199999999999998,1630606782
18710613,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,381547002731921970983,179187030373928319,1630694529
19644385,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2825318601910916672,1564916431371102,1632919448
19827413,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4943941688890823217,2354999924681117,1633338463
20173623,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,270255316373622332849,126327770027695379,1634128953
20680539,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5999999999999998402,3150672101472684,1635369753
21122209,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,68999999999999999979,32510494519902569,1636358137
21939727,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,509548848236786553,342165135554907,1638196366
22024273,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,788855616959702705,490535244802222,1638389977
22300272,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,16537815644367557982,9331899859163001,1639015681
22537327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,162712410922824804651,100446546242103591,1639538866
22849969,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5277465454896571083592,3170526822953156223,1640224223
24641653,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,150048056628354799495,104462528229256645,1644206022
