block_number,sender,to,amount0,amount1,timestamps
16863699,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xae38F87367bBE178925BF3590318097af810C846,16136119,104458083094598730,1626299065
16867366,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x38D2dFC2F67Ce4a9dAEfE6C2F2E3882042f5E439,40094151,258771389201244785,1626307549
16875961,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9e2148227bB2F65EbCc8d2e2291133e5e7EA7eBF,200565863,1708826011557095441,1626327547
16891146,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7f7EAFa5F4D75bFa16ce56FC3F6EFf06e2566420,592232990,6404548098916020846,1626362298
16891225,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9e2148227bB2F65EbCc8d2e2291133e5e7EA7eBF,247748448,2906651891188617417,1626362460
16891252,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xea0B2E3b1CBDC62A7E90BF443444865681Da4903,360363134,4797733172884242623,1626362514
16891572,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE30D22eE6f8EE6108C4CAA1620f45c2d699d5F2E,122790208,2449856162921463131,1626363174
16891590,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf5FE91967ee24bbaa6dF743Fb385cd1Bcff1F876,194441887,4023980734523487329,1626363214
16893052,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8eB83E919e9ed7c0815dd94b2108e7aD79DF0043,1123692,14363923173287432,1626366994
16893076,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xa6ddEA4b3dA444544FD9f1074E131BE74f741621,36522403,467279771449594774,1626367046
16893141,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x18BD99a7D3aCDc3839D5Aa186fCFf20164C903dC,721025,9276445046426652,1626367180
16893246,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE853EE163b6226bB3b9FD63fe19D5B74e34E19e5,118570372,1604382989307837067,1626367394
16893343,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcec82DdC4e2309020f701f518b1e9d2944D9304a,36091573,510478438887819137,1626367596
16893380,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0A5cB32F9F12fa6e9412EdAbcf0f4eF8bd50EAbF,146053531,2071202169731081326,1626367674
16893381,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2fB406ac332e026e1fE9a808940014D8896867F6,43862551,622019961272817362,1626367676
16893446,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x396529787d88063765b98110c0D094CCE6a3B809,9188610,132198656238845818,1626367838
16893449,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9668fdF9A14a1fc8A14694C947aDB67b580a1A2a,47572474,685265543730585756,1626367856
16893474,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8cC553Fd466fD2C163bcda9a24d354f63318d20D,335391632,4846192763632282663,1626368006
16893514,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDfd07D7529364c5E2884D1B5d2a13f066925f9B3,192887013,2790816128904152823,1626368228
16893520,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2Ebc117ed3e51802446389Ec3964C1cffB8e979F,23750382,346462422734668853,1626368252
16893521,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x91B39Aee1e872d42639Cc73A1480ec33377F97C6,65840151,960524438066014585,1626368256
16893548,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC8411c866b533057Be70e9E8A8A210A97acB1252,60290073,888270722712768529,1626368364
16893554,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1Ddf0Ad2DBb7aC99F9bc18a7e2eBdD75165dA2A7,367851324,5405324360182692271,1626368388
16893866,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2fB406ac332e026e1fE9a808940014D8896867F6,41040268,667027572132915716,1626369316
16894067,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0f7dE2dD92a37cAC4aC1D9b3d952cb6DF8c3Cc18,18801936,316859258492263218,1626369933
16894430,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCAF87989174a081292F8AEdCc89d47F4353885d5,10508998,163046970887750277,1626370683
16895293,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2fB406ac332e026e1fE9a808940014D8896867F6,40182269,687282041843079005,1626372994
16895420,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCAF87989174a081292F8AEdCc89d47F4353885d5,22121264,392686589636350668,1626373256
16895440,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9c88d91e467d1d4aaA714D0Cb2c306a14256A8b6,1260977391,22393366814077162643,1626373300
16895495,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0A5cB32F9F12fa6e9412EdAbcf0f4eF8bd50EAbF,130529995,2446127030510532064,1626373414
