block_number,sender,to,amount0,amount1,timestamps
22188739,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,509997280543876761,4863021107846890027350478,1638764760
23130690,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6683231037315040257,6302570773541351152647301,1640843816
23288774,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8136423097034628856,6716976149614682424001705,1641187940
23427606,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7054602939781514377,6275812834275330327458368,1641528472
23434264,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,654878751894732043,582583670706555075576724,1641543479
23546369,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3278221824937683521,3158705998983659697814274,1641794219
23606434,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1455919617500717038,1348616134354876561850607,1641932152
24040690,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3003185736052531975,3150494606577098783173577,1642887444
24092682,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,709126515458242091,849544816886410652913331,1643000642
24390938,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,397229164533582147,509712593652149552151707,1643653755
24458419,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,707402779819751779,1047547692790278253535883,1643799573
24674175,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4112004531142486095,6088091510780527402199154,1644276841
24674227,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3495203851471113181,5174877784163448291869342,1644276949
24874331,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,549070741715860550,826653881044449822531604,1644715674
24893390,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3799352898476946549,5841253115813146386943956,1644757199
24961033,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27839262317536732893,13739042045484701211865030,1644908269
25057950,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4699575072920693156,2790255306882409850220849,1645124626
25083874,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,26998300309697771,16029566406973422704324,1645193871
25098948,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9058F10AD7055DDe5B40065779BA679B27cb9dcE,218424395878808370961,133140247693898999869870927,1645231759
25470999,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2616653211949704274,2392175165749966318907918,1646170101
25483870,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7936537828350505421,7273810644718230106521889,1646199634
25750117,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5843365870626671406,5510008156014625596622345,1646797339
25987076,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x12fa5CF5543bd7A06341B16b4ae7a28E35cEb73A,1272547830200920784,1268328781713350289377798,1647392475
25990917,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,25728060444833477263,26529557691112674104901657,1647401805
26059988,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2270041571130302185,2696636283235677190506133,1647571993
