block_number,sender,amount0,amount1,timestamps
15156152,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1718807373900899733,166593080424118865534,1622460635
15182557,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1146596630169386238,110422565624563226612,1622515336
15408950,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,544050943164562602,57199755060817199468,1622999376
15416979,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,586174390751303195,61132018414970155378,1623018280
15510776,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3988436108546414,425222479178090191,1623233754
16079653,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,48912769745267267,5495990252426138523,1624505550
16315661,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2234547215212827916,262195464227961334808,1625033228
16587873,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,440149675288208019,46041159573282605363,1625630973
16589253,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,531204029648813019,55241688423333543309,1625634077
16940200,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2684021734911586,306973272131968194,1626479325
17032170,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,39970094544240788,4587371022825895009,1626694777
17181188,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,67785814214769,7917998658813279,1627047300
18704182,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,32978785023830767,4526437331823386338,1630678906
18787582,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,41387229475666844,5596057024962833548,1630879658
18965289,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,32586330995223632,4752048722245758956,1631304634
18973617,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1478165356210420,212139338144265636,1631323521
18987744,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,44780838188256,6379588795740059,1631357030
19004568,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,483373871066228550,68305934449342894442,1631398419
19008846,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,108122907606927852,15671864050288438226,1631409939
19039232,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,57245651909216025,8268434151024415420,1631485966
19056185,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13001741106084572986,1899999999999999999995,1631525859
19145948,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7851722684790685409,1068477895505687786076,1631734006
19477046,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50565238485556877,7510360867447574277,1632528412
19534347,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1063497366368409042,139850778123656751414,1632657004
19552399,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1500317401424661810,194237028171039145934,1632699890
19578903,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,23392327070399523,3051325145393526686,1632759147
