block_number,sender,amount0,amount1,timestamps
14471061,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,309000000000000000000,101302899681674405720,1620969824
14740289,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,476046461618244389348,156138879511879814022,1621555721
14807391,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2581623172722191482,2056453492216026557,1621706514
14836878,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,374648344599072054200,259606660788174221339,1621770693
15137327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50229195642809339126,54940400740601077865,1622421785
15593799,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1713518265138297448,1000000000000000000,1623430129
15834664,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,997845436018836,724436267571559,1623960463
15834784,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,700487417574594893,508554202836480168,1623960711
15972178,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2191709195154496,1672240812361376,1624265511
15984273,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,31112055203107521631,24411030442671608660,1624292305
15984521,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27791785427850402156,21574322374152497165,1624292817
15986133,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,80035432066149702830,62693972720649026427,1624296789
15992857,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4695958578776715,3632302236710873,1624311575
16028208,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,299999999999999999999,234916418843998763458,1624390717
16100674,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2506407581186063567,1955903001006218593,1624552792
16100788,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2990973784831437971,2307251425882145559,1624553024
16109501,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2701475626440499,1909522553920107,1624572556
16139700,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,490865284864818325,355032403977595534,1624639310
16140983,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1000107970104326857,719474607037287078,1624642330
16246486,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1026977203361870,712035363984641,1624879535
16291792,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,64299613907609650446,43045301471709480681,1624980629
16339691,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,26908703123633315,16918629146908926,1625087800
16385332,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,138974373883187757931,88240508565142637146,1625188290
16402579,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19933150179170718358,13091583574395323715,1625225732
16419584,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,70676054473510843,47398387618542262,1625262635
16449767,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,365521601416682004,236116480145561589,1625327967
16458837,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,23186397648968067,14746756705320872,1625348971
16477307,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50032261660164009105,31453557475791783245,1625390060
