block_number,sender,amount0,amount1,timestamps
18885185,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,500000000000000000,8583374752164060520,1631112601
18894141,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,316646170704924602,11868494844276840577,1631134084
18896599,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,41305059128830651,2890385697891069967,1631140109
18928238,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,397974015835362633,30516706437405016526,1631213836
18970135,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,869724920112007367,33747921070689468214,1631315686
19152152,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,502180527524853049,39788757974968929149,1631749237
19193448,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,37094412282480367,3643490344455747678,1631855566
19201135,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,967916959037931676,100000607247920934219,1631875095
19202865,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,386468669579381112,40479423524007860813,1631878984
19249881,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,213578494920805693,32117684602506877125,1631994929
19344543,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,314071624142603262,62664524324826860250,1632218462
19754494,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,770327268353591571,316442852895745724571,1633170377
19988444,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,332092346935404191,191712979060165815750,1633707178
20460337,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,239631972011098356,454604794979586585584,1634840439
