block_number,sender,amount0,amount1,timestamps
19970168,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,35000000000000000000,5000000000000000000000,1633666971
21030054,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2152423195054374150,42716949840083549432,1636156536
21030538,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2421752625620380074,47669324036558382837,1636157664
21035832,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4649179314904608933,93797650766071587225,1636169397
21081420,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,875268724170282516,17924354990707837342,1636270020
21081961,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4974324626916090709,101867641319396731092,1636271134
21140922,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,532107933156455859,10849999999999999993,1636400374
21164544,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1035443797306946261,22479999996647389085,1636452217
21164974,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9511580060006301789,206501135332667684817,1636453101
22130175,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4999999999999999999,105887336171946378583,1638632500
22706352,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,200000000000000000000,7132339829672271042797,1639910400
22752913,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4992551697225468,192088360410896433,1640012107
22755436,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2995516061928292,116848552053078674,1640017472
22855925,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,499999999999999999,21698037034284861074,1640236769
23051778,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4992488799492,219555284564540,1640670745
23136557,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1467673941436351601,69620094094606058406,1640857068
23179277,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1003905416473275262,45000000000000000000,1640947629
23224681,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4760152492804627705,239868410164586130234,1641046500
23224699,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4782195314047681201,239777564626244816309,1641046536
23224703,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4762720283064701957,239536287623504108879,1641046544
23259071,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1000937311192956708,44573553595113703350,1641122128
23265959,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4798387076637360626,234883830110820886415,1641136988
23268302,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8833939292714688060,416585339500090382755,1641142334
24537377,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001364856204091857,55159677429163682885,1643971447
24554371,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001382833483973398,56606123425691717668,1644008766
24554615,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2513920466902648658,138149839901226401584,1644009378
24574942,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,996474783853833208,58345399700987484294,1644054492
24613634,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001333403015351011,57639456185997797754,1644143835
24666500,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001375496279339688,60140643906056685271,1644260108
24692051,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001512255962933054,66865870325633543720,1644316297
24729451,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001734286396072817,78966477742513126585,1644397968
24769913,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,500058422833552449,40082976683397243460,1644484518
24808220,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,500022836572430894,36946164414628243070,1644571332
24815149,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1331587136405324398,100000000000000000000,1644588023
24901095,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001606445835320103,76656039633130404968,1644774450
24904714,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1001623247651443970,78472921041372889140,1644782818
