block_number,sender,amount0,amount1,timestamps
14595082,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27200000000,366750000000000000000,1621234662
14597312,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,286171138,4209042633921402988,1621239593
14600182,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,178688716,2611324940808787317,1621245819
14600587,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,574078084,9422570048225248021,1621246847
14603636,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49537449,597578258438799600,1621253539
14604692,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,88686201,999999999901969846,1621255894
14606101,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,341284785,3434270062939728775,1621259156
14606935,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,404684221,4166577033989963443,1621260999
14610792,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,39886456,522619323971611790,1621269371
14613481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10339623,140072305397782064,1621275072
14613609,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,104916952,1457373340728202186,1621275336
14614826,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,99905318,1174313586775601123,1621278628
14614838,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4582620174,53865332107347572010,1621278652
14615865,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,757428393,8400793172002245051,1621281497
14617803,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1685797512,17126613763774223752,1621285903
14619550,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9696129,94716466983808224,1621289592
14620261,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,247845880,2604653430727039595,1621291115
14622465,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,995863801,10000000000000000000,1621295861
14622615,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1044745941,10000000000000000000,1621296169
14624092,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,964906867,10000000000000000000,1621299389
14624925,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,163009390,1768437322332969523,1621301134
14625281,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,693362525,7135344567688917439,1621301958
14625446,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1007090109,10000000000000000000,1621302367
14626055,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,945737022,10000000000000000000,1621303700
14626263,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8965784,100000000000000000,1621304176
14626416,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8632569,99999993359378008,1621304570
14626609,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50582634,655583923149083120,1621304968
14626817,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1117676353,14701272390535593098,1621305432
14626890,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,748493,10000000000000000,1621305582
14626893,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,748493,10000000000000000,1621305588
14626896,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,199857775,2670134179789844313,1621305594
14627215,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,59731797,878142066751527345,1621306329
14628047,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,26068480,699635393617827144,1621308173
14628197,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9782390,282426652282906997,1621308481
14628339,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,99456094,3183358797040919415,1621308815
14628432,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1869189261,67569224703583384857,1621309009
14628476,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,224993464,8170864947615558066,1621309097
14628810,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,79730664,3304492468227877175,1621309870
14630934,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9660550,276974058588517992,1621314559
14631232,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2506688,71008135573280266,1621315180
14631635,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17218887,487138989440430319,1621316050
