block_number,sender,amount0,amount1,timestamps
16450925,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,880000000000000000,1000000000000000000,1625330593
16498193,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,73210035504105606559,287600940252851840,1625434714
16513873,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,405028811830639926869,1000000000000000000,1625468716
16520129,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50639363605577765091,212451293890381427,1625482014
16520481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,238357520343962585267,1000000000000000000,1625482738
16529080,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,107855962338055983058,500000000000000000,1625501243
16530381,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,362748578708719456252,1467996871038629196,1625504071
16537246,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4976005849319194434,17546171810494464,1625519267
16546782,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,40014393967496174116,113020751717513906,1625540605
16552860,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27116880605159213105,71666548669721950,1625554300
16570783,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49849468883290085,125628987086722,1625593278
16594975,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4965742311952946208,14953699100708725,1625646963
16615888,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49570520639693092436,123635516574114897,1625692440
16635819,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,146821746594083167212,401003906752044029,1625735979
16650005,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5113574766225772129493,14000000000000000000,1625775159
16674167,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,69918213328243181742,170437943556789624,1625843384
16687463,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,997946300307822254,2471487238771217,1625876234
16694182,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,20025035141821177542,34074612305770065,1625892026
16694457,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4766673563872710117,8075995522581733,1625892592
16696295,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,99225984319982820625,169491288098364478,1625896512
16696768,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,32873507294301255544,51608190299067213,1625897490
16696943,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,15933184521830006551,25013540889058132,1625897848
16697289,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,323781436992190295272,490044386959276274,1625898584
16697339,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49775115545034428405,72190032024562430,1625898784
16697368,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,574440330290906017757,842673194935845932,1625898854
16697458,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,664871801812656122131,981545471418176696,1625899038
16699151,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49918451151596535610,73857364590643033,1625902660
16699271,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11537212217949141846,17211105945029770,1625902908
16699385,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7699688106577472897,11994194396153716,1625903140
16699971,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19993269441650762880,40003041138391823,1625904352
16700019,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,56029167152326023502,112104580248145334,1625904448
16700100,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,520861303600971265659,1000000000000000000,1625904618
16700122,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,48682461402058138717,93020094262438862,1625904662
16700256,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,215881044186559540647,391759102504707246,1625904938
16700647,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,509074429691784899504,1025339366718321709,1625905872
16701396,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,141922953912857614189,364624276201092881,1625907418
16701440,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11560622573489738185,29382925261966768,1625907512
16701597,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,528080604886345078824,1210987550059090294,1625907960
16701639,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,221578656494210182811,510680468781496756,1625908048
16701655,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,98433286469559083636,226885210601808954,1625908080
16701765,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,29999999999999999895,69199996228207314,1625908308
16702085,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,134391679436111881543,331757424509657409,1625908968
16702456,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,111416191381117478634,272257676984912987,1625909730
16702479,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,89422723136834015458,218528463330669239,1625909780
16702832,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8615579537010298747,24508373554924929,1625910506
16702887,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,107590640108076713925,313106608107346628,1625910620
16703085,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17568102537511206668,51139939887643844,1625911028
16703780,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,397922448017788197,1409729198456791,1625912592
16703895,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,813263139236894413,2940724103869077,1625912830
16703964,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,99521668066639185965,364648562010100793,1625912972
16704198,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,266555419647133,997777465885,1625913456
16704268,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,12491892697718756117,48038568262440331,1625913600
16704283,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13191871860660198,52509790172637,1625913630
16704478,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2493782242640502987,11509545213829945,1625914160
16704481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,26884625790084184338,124080527480313407,1625914166
16704512,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,179193587924127555,829214764977995,1625914232
16704612,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,743466067074099808,3724921136814370,1625914436
16704803,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,233354709717652814,1259598552706201,1625914830
16704995,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,718529329,4004164,1625915226
16705074,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,788059400989793981,4377253558110640,1625915388
16705093,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,229034288980402429,1272295056979371,1625915430
16705323,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,182255861106201219,1025191547053931,1625916030
16705576,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,202173989621313142,1143205589681804,1625916634
16705843,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,210181147137722921,1224650023487486,1625917230
16706134,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,226656993590354350,1355642325541772,1625917832
16706361,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2494057748398175264,16731808002559730,1625918426
16706364,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,162613585005954560,1092236128657082,1625918432
16706592,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,177839064384005327,1301830872057366,1625919032
16706603,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2494138863629801660,18550800956414952,1625919054
16706882,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,244498272715134315,1979424596123194,1625919632
16707079,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2494478672638302874,20810134179262999,1625920038
16707174,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,262500493291858380,2388379016397614,1625920232
16707317,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,290570685868783464349,2711129808469990609,1625920527
16707463,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,241943851389213167,2519880313294157,1625920831
16707733,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,220449280629295538,2266595720780876,1625921431
16707786,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,24736209042074046902,258279922043418915,1625921625
16707911,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,73736118202721752,781777069230509,1625921883
16707983,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,196143924277160034,2112553453197864,1625922031
16708119,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47840865617451826698,517310260570312065,1625922487
16708154,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1045266391604553906,11287300485247899,1625922627
16708155,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,135760880768487526,1466140233561196,1625922631
16708278,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,108434123657563368883,1076167632270520524,1625922893
16708434,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,39452014124972289247,400000000000000000,1625923217
16708441,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,241227051305066502,2446132782615090,1625923231
16708594,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2494392225892635849,25520580253156949,1625923647
16708671,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,196563585461919294,2005504222164129,1625923831
16708686,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1261332599355156582,12869158077349422,1625923865
16708911,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,266062923046678973,2284351032968551,1625924490
16709030,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,147939806767407535381,1245516172172191809,1625924814
16709076,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47762698060992284951,399738720140206288,1625924960
16709112,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,230155737355010633,1908664692819489,1625925032
16709402,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,292320730618738022,2674136447677083,1625925632
16709632,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,270408532576814285,2214376335995208,1625926236
16709719,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,28709729874011142932,236133083775670027,1625926462
16709836,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,235396755218883762315,1869843726301454829,1625926810
16709842,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,259462365919136224,2061270588564777,1625926834
16709860,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,162821023633498767598,1293356228949342537,1625926906
16710088,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,283897818439997778,2221104702673364,1625927432
16710143,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17919012601782794259,139871587901599006,1625927542
16710374,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,12354325944412251478,97088076674363501,1625928020
16710380,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,336074269941148523,2641500481528652,1625928032
16710670,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,325958641940817947,2646488147706165,1625928632
