block_number,sender,amount0,amount1,timestamps
15214162,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,862192568796426,9078685,1622580522
15214487,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13683109007848723,572289,1622581192
15214599,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47818902126101741,2000001,1622581424
15224572,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,23362576891134528,999999,1622602014
15347890,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,63465767741906541,2267541,1622863048
15635327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,48764233378599643671,1229883611,1623520929
15635490,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47819958321824146270,743601637,1623521267
15951727,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10382267942582415209,245546905,1624220836
16099157,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,526964463281417013,8550064,1624549395
16936416,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6352938895070778544,37953919,1626470378
