block_number,sender,amount0,amount1,timestamps
11587404,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100000000000000000,740579068983311,1614846763
14234380,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,776027150664959705915,15000000000000000000,1620460199
14530995,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3050714470961285,125384682089285,1621097596
15499119,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,15000000000000000,896098058066187,1623202917
16251547,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,74997606193721082,4737698121758763,1624890753
16372349,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,292620394638137,17807499999598,1625160241
16926736,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,493386402264546999,24783941276866464,1626446796
19379338,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,71304947415194968,3843811130864261,1632300997
19379899,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,55881155053122981,3012366092187496,1632302686
19380605,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,739355583639370,39856185651629,1632304534
19408880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1762831393554763,95028342043750,1632373566
19417593,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999999992,53906654028962247,1632394636
19450668,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,39999999999999999995,2270036811821968033,1632470143
19502782,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999999989,57455491266988093,1632586040
19575839,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,215706556141,10000000000,1632752796
19601594,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,986949871936941,47049468569085,1632810139
19630182,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999985,45461780559875,1632877422
19645872,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,395155257834265958,18528450352764343,1632923797
19677869,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49924915746175,2409654552164,1633000487
19721251,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,124,6,1633098280
19751252,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2564052622997034363,110975386544853532,1633162409
19769667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,499251624299354,24742142648379,1633204049
19772073,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,499251617260487,24616418720264,1633209407
19813867,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49952416387638840,2479399337742556,1633306907
19814057,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,501982212213736723,24619282977284898,1633307379
19830993,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986071444034473,501246070387932,1633346770
19831995,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986069123255623,499348053223153,1633348966
19832154,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986068172140808,498696303106830,1633349299
19832376,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986066748572027,497613330225577,1633349758
19833082,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986065209261411,496425236502818,1633351472
19833259,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986064264951595,495779621654118,1633351838
19833958,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986072104615332,503188982097421,1633353289
19835227,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986066154937160,497958733512154,1633356429
19835448,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986065681755715,497742327020749,1633357139
19836910,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986065185357681,497504525700752,1633360733
19838693,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986073080822221,504992589079625,1633365086
19839006,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986072601602518,504771730372881,1633365736
19839135,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986072122801830,504551064766969,1633366002
19839294,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986071644419629,504330592008755,1633366349
19839452,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986071166455346,504110311845542,1633366677
19839537,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986070688908495,503890224025079,1633367051
19839655,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986070211778468,503670328295552,1633367351
19840029,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986069735064740,503450624405587,1633368244
19840068,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986069258766767,503231112104250,1633368462
19840275,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986068782884004,503011791141043,1633368891
19840365,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986068307415909,502792661265904,1633369075
19840431,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986067832361941,502573722229209,1633369211
19840518,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986067357721558,502354973781766,1633369393
19840607,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986066883494220,502136415674817,1633369575
19840639,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986066409679390,501918047660039,1633369639
19840702,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986065936276528,501699869489538,1633369774
19841191,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986065463285097,501481880915852,1633370855
19841232,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986064990704562,501264081691950,1633370941
19841244,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986064518534388,501046471571228,1633370965
19841362,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986064046774039,500829050307510,1633371286
19841497,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9986063575422983,500611817655050,1633371745
19841638,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2560664063306174636,115811895496519613,1633372035
19841659,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3612993418522829181,159044721520671263,1633372077
19841675,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4137430707327016772,179877416025688046,1633372113
19841691,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4661658305392553294,201388552073975127,1633372145
19848214,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4992488941699,251454231563,1633387464
19858255,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999999993,50586149604734211,1633409906
19861786,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985806015152175,512652276966064,1633417462
19865194,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985804362836099,510781090896607,1633425253
19865437,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985804089832680,510612468236716,1633425755
19866084,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985808317678780,516027998777750,1633427228
19866246,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985808042058134,515856829544175,1633427578
19866330,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985807766620293,515685773828437,1633427840
19866445,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985807491365074,515514831517649,1633428080
19866550,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985807216292296,515344002499071,1633428294
19866738,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985806941401778,515173286660114,1633428684
19867261,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985809713519176,518800177459851,1633429762
19867499,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985809436971815,518627799688650,1633430254
19868207,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985809160608181,518455536428692,1633431986
19868364,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985808884428090,518283387565909,1633432312
19868459,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985808608431360,518111352986385,1633432544
19868680,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985808332617809,517939432576357,1633433002
19868781,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2546117076163652524,121945658204715962,1633433208
19868817,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985773012171684,514452437346753,1633433284
19868980,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985772759473783,514289039172422,1633433618
19869115,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985772506936365,514125744760789,1633433896
19869196,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985772254559278,513962554013046,1633434066
19869421,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985772002342369,513799466830510,1633434528
19869596,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985771750285485,513636483114627,1633435018
19872356,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985771905564673,514002243541629,1633441003
19872572,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9985771653569200,513839215354431,1633441447
