block_number,sender,amount0,amount1,timestamps
16751949,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,200000000000000000000,198000000000000000000,1626027995
16761231,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,138382007977476667892,4571736214612334548,1626051794
16821899,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61845991800138227412,2333282972794203027,1626193025
16822745,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,995343405591515825,43066807735301271,1626195537
16823382,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,300000000000000000000,12980338357726110250,1626196979
16823438,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,250000000000000000000,10789168356257731894,1626197095
16823448,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,250000000000000000000,10770148232707482179,1626197115
16825080,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2268311060038487686,99000000000000000,1626201388
16825312,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2125198871571245140,99000000000000000,1626201882
16830599,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,25434600888367658898,959467218713879801,1626215339
16836294,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7077671145556234246,326852714853544771,1626229865
16837901,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,22924623528417369931,1021861128583313022,1626233691
16838025,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,44427142148651427901,1980000000000000000,1626233967
16838432,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,21999999999999999986,974956269034213518,1626234913
16840911,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,44850224514119490351,1980000000000000000,1626241602
16840964,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,67295667204220476811,2970000000000000000,1626241712
16841071,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,54733552523153700661,2414541171894694911,1626242026
16848367,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47509147605453030938,5004290138121560045,1626260681
16853671,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3399999999999999994,336356243759058914,1626273821
16853829,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,232929391479342221,23377073635518109,1626274149
16854672,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11527907813517513418,1312943102924272724,1626276143
16873868,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27167330693253695566,9995699694856394275,1626322721
16881886,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27380595120284050768,9625549495710421105,1626340713
16899634,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19311768549358301892,9900000000000000000,1626383597
17022895,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,43935899604607604,79363504281096370,1626673337
17029767,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11850910999288368212,19602000000000000000,1626688866
17049421,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,16506967937872662,36746448887296469,1626735609
17058446,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7464197972361143,16620270858147199,1626756712
17079793,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17647781017660500,44703939008767233,1626804403
17085955,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6353486679604178,16668553021154361,1626818512
17092499,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,238244623419754122,635068892959747374,1626833058
17094198,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9033276211855974,24078884715213173,1626836688
17110347,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,19732855594144344,52331239331682715,1626873875
17131540,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9576933015155113591,25228417773475637696,1626924181
17132110,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,32072839976237029,84440429458160264,1626925631
17145644,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,20572532628428497,57417135844909085,1626959504
17159480,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,22581508341096505,66228638191982383,1626994241
17181256,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,38946187135159846,119903507084256445,1627047458
17205231,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47515450711521056,161688642706946757,1627100861
17223466,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,40733872896739706,151391912347275669,1627143026
17763589,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,66155040539619661,1235416629794858641,1628444418
17986782,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5071968858093690846,128700000000000000000,1628974862
18679681,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3896245368311256675,168300000000000000000,1630623500
21866804,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,110000000000000000,14395743781980054112,1638030363
22399530,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,580316512599027324,93296207371331213704,1639232474
22546073,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,563752266864774691,91096679180458415953,1639557424
22665609,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1900633426711193771,346499999999999999949,1639821401
