block_number,sender,amount0,amount1,timestamps
15792568,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,400000000000000000000,100000000000000000000000,1623869454
16001832,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,296226928189700989583,2843028247718217389371,1624332073
16003554,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3173641086386630811,7077613518326757539,1624335753
16003775,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10479859011698578890,19985460786143756699,1624336207
16003868,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,839832910021564108311,1346007327089003607395,1624336529
16004347,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,262999999999999999999,504403407751607243643,1624337643
16004615,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,37312043910989649834,77483608597884478567,1624338201
16005826,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,376620064839927930610,639323333438296393602,1624340955
16005840,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,445016491001431628731,755428223355470608662,1624340983
16006264,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,435614247628353584227,772205748075442125973,1624341855
16006407,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,554206482306589398885,912769909804035861432,1624342153
16007906,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,606327933501442828623,1319023181405214807389,1624345503
16010752,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7066394369401129843,15000000000000000000,1624352271
16010825,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,312084544382094344257,598282544368373486332,1624352421
16011624,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,684638631118693435442,1337414818842184674957,1624354287
16012209,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,95100782135400283338,194590000000000000000,1624355667
16012798,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,23740150862344956326,48690977373204214572,1624357009
16016100,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,156999999999999999999,340502559906643777535,1624364355
16022504,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,86634967155622109475,247441911752025340074,1624378081
16023660,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,429568692976879464235,1096621611338618345990,1624380593
16024301,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,379999999999999999999,781967329984450694428,1624382171
16024417,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,20170422006714576311,34959353899833904176,1624382411
16024648,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,82947197502361490584,163282568270453414127,1624382889
16025710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,980562595542583049386,1563286341894927494237,1624385230
16025838,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,29000000000000000000,44065890027437850514,1624385501
16026056,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1024216593628959843102,1229189843644458962931,1624385953
16026891,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,517366652329786897235,505067019399888522558,1624387803
16027005,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,115867234375235718756,120478269665977730428,1624388035
16027535,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17136203554156988406,21228820088061609084,1624389131
16027936,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,222143748689895956216,205980550981048779586,1624390029
16028132,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,47261914583976193965,43886399521942863356,1624390507
16028447,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,24254274251416738563,24976739243069433615,1624391211
16028453,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,419837832542477788485,432343592683520532991,1624391223
16028454,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,91066729087223130938,93779344727165267482,1624391225
16028740,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,83850470865796347790,82648627078886472021,1624391837
16029963,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4488220995247535198,5866733927409935735,1624394686
16031651,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5833633037364785200,7420582392733665492,1624398320
16031902,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,25000000000000000000,31613839417038907215,1624398838
16033177,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,69999999999999999999,73203085426688276017,1624401472
16033705,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2598499843819108767464,2135983809595352310856,1624402560
16033745,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100268465210337953357,81490803016432314112,1624402644
16033953,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,256035499016312714791,200000000000000000000,1624403072
16034880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2091657210902679587,1570992279467352375,1624404990
16035338,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,24855715455004295790,18696379734398835162,1624405934
16035717,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1169581505962116945492,866540368011040475919,1624406720
16036095,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2081713925824823205140,1574765844283954828424,1624407628
16036781,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,252029165410314318619,198353953345094463700,1624409172
