block_number,sender,amount0,amount1,timestamps
20045577,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,30000000000000000000,46518900000000000000000000,1633834520
20045607,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1668632578535502011,9917372301393705487243717,1633834580
20045634,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,408428889447507301,1402508254119943256590885,1633834638
20045706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,287243677143883098,553887498339025178599407,1633834786
20046880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1782128039063504299,6667877785116087578021718,1633837208
20046960,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,575533815988430794,5257543764426714357441370,1633837470
20046967,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6109511887470627578,2917278332432063067172416,1633837498
20047025,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,960638709930343432,990925300709350895361166,1633837734
20047356,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1803870281385985879,3432216206446571034542808,1633838444
20047471,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,245685476144596688,410110610783918214948603,1633838682
20047471,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2345845341300389141,13822888030955232435963539,1633838682
20047584,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,655632482559985110,11196539305073738273130467,1633838916
20047643,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,131995938617539344,3378660000000000000000000,1633839038
20047697,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,186061283350476250,6000000000000000000000000,1633839150
20048075,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,144410159868496716,6000000000000000000000000,1633839930
20048270,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9907963467358794,462559577800565114806048,1633840332
20048592,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2437367795683995533,7550155134577176854002834,1633841125
20048610,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,645042146710025422,3763460796576464236399020,1633841161
20048654,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,452611798566123026,3662044594524898718082881,1633841253
20048737,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,428041606684376591,4731950797209458392598595,1633841423
20048759,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1558380546435977459,3476905456106652346863535,1633841467
20048774,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2480742000925325023,18348850074551148394610005,1633841501
20048886,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,781812789398087864,14862568560386430199634104,1633841729
20048887,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2248167000075838409,6495166084892900846415053,1633841731
20048915,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2576108606367984215,2192556724194439331335332,1633841791
20049131,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2621873059823285339,3708458294547962839846662,1633842235
20049210,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1592118740680533908,3602081705570196369000716,1633842397
20049425,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1078138001328080596,3504218935461976815530040,1633842843
20049436,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,780769255285237689,3402618129774655463218143,1633842865
20049471,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,594161509034976406,3309044759706264619833146,1633842935
