block_number,sender,amount0,amount1,timestamps
22215194,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100000000000000000000,5000000000000,1638825536
22215989,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7857877076599827122,389000000000,1638827302
22228006,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4256609425374950714,210721171931,1638855022
22241495,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,17300193553794249150,889830615018,1638884053
22250044,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1000599999997834549,51465581042,1638902459
22250315,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4134594309809468848,200000000000,1638903149
22250531,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6804957434342517623,300000000000,1638903593
22250667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7466664959662825777,300000000000,1638903961
22573418,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2209837594430230152,135307858870,1639618449
22595506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1022307049199192584116,51576795983976,1639666688
22599160,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6375501933047276270,310815354946,1639674736
22600001,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,64445529683824098429,3141816972799,1639676730
22616780,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3624611921296097665,173465652409,1639712666
22621298,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2999999999995667607,143573151699,1639722225
22637661,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4625505176800497160,221437383247,1639758509
22649314,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1434259511721078485,68662483563,1639785438
22652415,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3477339076489520203,166471085066,1639792221
22678644,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4971474174487350237,238000000000,1639850675
22687943,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3884124054565022506,185945152794,1639871302
22690967,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9945105152004397774,432544046435,1639877666
22691925,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,66948538143278706566,2911803459973,1639879771
22694614,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11406342481345351375,496097874934,1639885497
