block_number,sender,amount0,amount1,timestamps
16442051,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,20000000,773485145519633914,1625311202
16444270,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13164480,2588896582292160,1625315904
16450470,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13105811,486259828317045215,1625329655
16451519,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,614523163,47673541977279178319,1625332201
16451682,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,41460693,3150016155885445799,1625332539
16464509,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,355882887,45529872514413190341,1625361385
16465871,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,112741197,10626581197938124383,1625364197
16470510,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,15277142,2492678493077187418,1625374791
16472417,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,168562248,26851862342487874547,1625379276
16503365,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,36746896,16366791703063924424,1625446130
16506790,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,193439283,83646057726894324005,1625453706
16524723,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,72251630,32734790990616821691,1625491743
16549924,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1974075,379702818473642032,1625547732
16551644,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49964216,10465835338908413599,1625551536
16552173,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2721617,586995683685382969,1625552754
16563489,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,330051677,61689223557730201228,1625577891
16563840,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,13665727,2394171391659484497,1625578670
16567328,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,37381803,6600010149979389838,1625586009
16568519,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,14050640,2586786187951008668,1625588609
16569693,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,98583845,17725636176626581580,1625591030
16572866,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,163046119,29422817149637617734,1625598088
16584002,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50409394,6894439463576673825,1625622604
16590129,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,12519919,1677762420902239312,1625636009
16596212,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1631617,263838785576342287,1625649513
16604582,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,326364907,45185735174116649923,1625667822
16605872,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2070096487,271685806667212016771,1625670610
16609251,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,239785474,32350653190378031312,1625678220
16614226,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,401499615,52149313855808241759,1625688882
16633287,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,8597329,1740050467122881364,1625730375
16641687,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1352488,300752077854078127,1625751834
16652375,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,212744769,50453474681534896774,1625781769
16674591,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,245380006,90262488684577723850,1625844260
16714564,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,219723544,99249792614375689649,1625938765
16744886,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,14575041,7052891288947532172,1626011055
16745196,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,898950977,435000000000000000000,1626011823
16790023,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2796665,2946905066162387052,1626117851
17245339,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,594958611,2022049522345169362775,1627195181
17296524,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,89571021,318169771596629748349,1627320028
17344389,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,499999999,2046008761427863243662,1627438661
17408312,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,485314367,3706687763088783653292,1627603142
17420380,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,337332959,2474608645017034935746,1627633669
17434768,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,202111,1355589949844598977,1627672632
17519348,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,49821171,294637381101820335379,1627871612
17528464,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4400479,27708474236722321257,1627893137
17537870,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2105969,12640000000000000000,1627916855
17698580,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,752508233,7264634266860119498169,1628294420
17796304,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2049261,24393548395396821301,1628520539
17969550,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,963110761,18435476217741592166678,1628934821
18993815,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10824428,915170614727611805312,1631371536
