block_number,sender,amount0,amount1,timestamps
23244362,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1000000000000000000,998000000000000000000,1641089833
23244516,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,499999999999999999,254675630827418226581,1641090277
23245027,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999999999,459540919838291958153,1641091476
23245446,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1999999999999999999,1100981121515446665833,1641092342
23261968,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,14999999999999999999,8075886656525029759834,1641128399
23787677,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,948095373637962609,419160000000000000000,1642337837
24023971,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1299999999999999999,318374301002795552997,1642851340
24024006,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,4479999999999999999,1097055140753129657495,1642851414
24027369,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,199999999999999999,43044435721311099707,1642858743
24114017,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999999999,200064162600173013705,1643046331
24141412,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,289999999999999999,52575626605659869592,1643105368
24541945,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3069999999999999999,572105266504655014112,1643981439
24624956,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1399999999999999999,291833909749005392238,1644168732
24814668,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1189999999999999999,261199066001227306603,1644587033
24887022,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,59999999999999999,13002945449438745490,1644743372
25014629,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1999999999999999999,432974552032941790622,1645026249
25063170,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,899999999999999999,173425491966242006716,1645137907
25120344,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,10799999999999999999,2986494767453609917849,1645286840
26806391,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9999999999999999,1995903884045007784,1649233371
