block_number,sender,amount0,amount1,timestamps
18616804,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2000000000000000000,2000000000000000000,1630481717
18621292,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,542777326891199354754,542777326891199354754,1630492505
18624162,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3136384320482888016752,3142135504623490560409,1630499667
18634003,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9924916568074771071,9997037927282757196,1630521652
18648450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3310285557364575186000,3334340398745474588442,1630556172
18685211,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,298224463925094331350,305802006646915043043,1630636199
18699375,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,228451910533457690719,250303821295285867568,1630667717
18708354,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,52808970039400711894,57860260256367567467,1630688800
18710529,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1852786999999999999999,2030010014200819605322,1630694326
18712907,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7023812810408637119722,7695655433140202355464,1630700033
18837751,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7713323862457873797,7982545813622887562,1630996252
18861109,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,188911316172814506194,203485444981081263400,1631052020
18878881,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,498975596231665279390,537470561800638956225,1631097844
18885419,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1523654402727243580983,1641201281201774955654,1631113121
18992858,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,348461460340365941248,359951750134974220459,1631369044
19065926,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,719245318330711733076,723999999999999999999,1631549899
19090779,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,7712345419672167323,7776888959265489120,1631607178
19117962,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,87308819523410139971,86336505708409599160,1631668851
19202228,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5756696603782097067248,5692587208337536995154,1631877533
19328533,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,582506822514544424161,599818021014557968230,1632181369
19851450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,98974384421944468145,100608696607545747205,1633395200
20071538,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,196820592266844170010,203010157145721112221,1633890199
20364608,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,31055904997526052534,32242971860411210072,1634608470
20398469,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,220722830947834290500,240186107120235280712,1634692671
20834181,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,900013978858473933366,902721184904100168751,1635717607
20834455,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,42110527524979665346,41764752612962100611,1635718415
20855545,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,98175589660795716139,99994171222890722221,1635765861
21145784,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,486565364743336669024,495578387268931060141,1636411446
21146158,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,198004999999999999999,201672798109965567921,1636412312
21146189,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,247506249999999999999,252090997637456959902,1636412412
21149415,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,432345650000000000000,416800318186524953831,1636419576
21246887,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,284550351382779946446,279956163690907490363,1636635782
21369433,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,203282076473190125832,199999999999999999999,1636916041
21369582,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,438825736498489982691,431740706423140608515,1636916347
21369667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,129740000000000000000,127645291951856632157,1636916653
21686280,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,335829740222480496471,334437711944548412346,1637619647
22645153,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,655194721052709277774,650279662042037400509,1639776205
22877367,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,60453502635641784171,59999999999999999999,1640284367
23529443,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,98372609999999999999,97634650477971260841,1641757174
25358203,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,11083142149867660431,11000000000000000000,1645888515
26689928,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61337120803886471914,57160442889295450125,1648976954
