block_number,sender,amount0,amount1,timestamps
14574568,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61693437,193693288574638130,1621190758
14574792,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,77990707,153279843202738161,1621191229
15690013,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1045203000,2946021263694721029,1623640208
16297393,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27763946,114635206857443149,1624993009
17603710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,5000000,16244392460231269,1628062046
19372657,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999,3567557604126007,1632284762
19375249,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,14015181,50000000000000000,1632290919
19386360,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,109300,383229296344788,1632319689
19416378,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999,3273697538217715,1632391489
19488216,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1545446,5520617643791886,1632552255
19496545,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100000,356971346465531,1632571699
19517141,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1005653,3682809399144860,1632618166
19641380,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,550577,1891786846795005,1632909848
19682408,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,557,2023632959911,1633010583
19721277,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,60262,205597386705313,1633098332
19740828,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,599814,2098702325099099,1633140350
19744498,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,592181,2088571676071813,1633148330
19749513,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1470032,4291283895878099,1633158823
19751788,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,595701,2065625965483802,1633163770
19754314,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61,199948825202,1633169903
19754328,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61,199949897213,1633169959
19754390,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61,199950966900,1633170165
19756112,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6139,20133734494752,1633174041
19758450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,61960,202110616354167,1633179247
19758541,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6206,20232789918029,1633179437
19758610,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,62504,202677730676002,1633179579
19758757,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,62157,200478229762374,1633179881
19759117,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,62526,202122497687514,1633180653
19764047,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,645854,1938311954659769,1633191647
19764276,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,25571,80429968442219,1633192121
19771407,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,633710,2090077082477855,1633208035
19780986,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1017923,3007974684813953,1633230754
19782481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,65922,207335070309433,1633234483
19782510,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,661,2079036476358,1633234541
19782644,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,66101,206856351203517,1633235029
19785630,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,65232,207480754952417,1633241235
19787065,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,65,204678482859,1633244321
19789331,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,503946,1528427176509301,1633249038
19790030,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1537377,4395421881967564,1633250696
19794488,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,65120,208368761472633,1633261233
19802293,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2743484,7286236933431419,1633278692
19821661,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,612485,2110791406632296,1633324588
19825921,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,503280,1616568739372844,1633334676
19826538,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,635,2079362297412,1633336338
19831188,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1273,4192130895302,1633347300
19831614,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1248,4178405484746,1633348178
19835213,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,32058,105298491208528,1633356401
19837157,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,596361,2122728852443713,1633361243
19837743,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6185,20952585952237,1633362839
19840490,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,648522,2036777811226276,1633369333
19844023,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,626528,2119388391579052,1633377669
19845698,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,27597,90898143924900,1633381371
19846237,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6328,20835436092395,1633382613
19853690,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,51619,170710501848022,1633400466
19855077,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,644,2126706220987,1633403330
19857939,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,625262,2151947980988707,1633409254
19858164,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,619187,2154418080560072,1633409716
19862959,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6410,21200552861963,1633420119
19864048,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,6417,21232265551722,1633422556
