block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23117465,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x632294808f70EAe6D669b6A1e2969B7289C38553,200000000000000000,0,0,3324995831248957812239,1640812983
23117465,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x3C8b87d7052e264fA6BC9AB157403c66Cc92b56A,200000000000000000,0,0,2376015314598369166956,1640812983
23117467,0xD5b3137c3fbe9506F55f9F4E8aCFa742eF1afD71,0xD5b3137c3fbe9506F55f9F4E8aCFa742eF1afD71,0,13256595863228923330000,672469870621958923,0,1640812987
23121407,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x061953f165b9A8FBd04fC1A7D55E39b7414438F7,61460306423480240,0,0,2140569213327434311971,1640822299
23275681,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x061953f165b9A8FBd04fC1A7D55E39b7414438F7,157824576591365792,0,0,4225832382309704452472,1641158738
23288798,0x78B4733FEF7Ee3a5e233D9D7840ac7Af174CA2Ad,0x78B4733FEF7Ee3a5e233D9D7840ac7Af174CA2Ad,0,4907823896357064524527,177624820732343623,0,1641187988
23289004,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x061953f165b9A8FBd04fC1A7D55E39b7414438F7,95896702078082784,0,0,2885188892338182746327,1641188542
23299948,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x061953f165b9A8FBd04fC1A7D55E39b7414438F7,169055351570836064,0,0,3785001018394665325744,1641213213
23300250,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x061953f165b9A8FBd04fC1A7D55E39b7414438F7,179473950410091776,0,0,2865560528933301982718,1641213837
23502610,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4047faDC304b33454519ddE0CbFEeBF252d0465D,199000000000000000,0,0,2327024305966954803768,1641696771
23502611,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,2677821032088330882119,223105817105044668,0,1641696775
24211883,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x061953f165b9A8FBd04fC1A7D55E39b7414438F7,52972091848150544,0,0,718958629945045914396,1643257171
25624776,0xB4c974a6CA064269E7AE063C392623B05f7Ecd97,0xB4c974a6CA064269E7AE063C392623B05f7Ecd97,26897961029002,0,0,334938226566800220,1646520683
