block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
22439766,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x604229c960e5CACF2aaEAc8Be68Ac07BA9dF81c3,0,281,141062,0,1639320116
22465973,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,373,184340,0,1639377180
22480163,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x82188C21263A893bf34D7b59cA56D04E0a0727FE,0,863,414254,0,1639410308
22505407,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x827ab2cbaFdb21Bb5F475e19d0c0e2197e693cdF,0,296,138279,0,1639466795
22531594,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,192725,0,0,408,1639526142
22531834,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,193956,0,0,403,1639526634
22557613,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,479,228268,0,1639582663
22567225,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD729a51eE0Fe5970eE3E52b54a132098E4DDAE3b,176936,0,0,370,1639605630
24327816,0x79BaFc10542bA08593B2d775d64eD197b0B9a5f9,0x4C5ABEFd16b40629554c13434aC829aae7B0a552,0,14,5132,0,1643513382
24357729,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x24ecfB015ef8F3492FEf2001Deb30f9B0ac51269,2819,0,0,8,1643579632
24912460,0x79BaFc10542bA08593B2d775d64eD197b0B9a5f9,0x4C5ABEFd16b40629554c13434aC829aae7B0a552,0,6,2038,0,1644801166
24995045,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x6e4d9f10DB1Ca27786E40e8b5fD0893036c44c08,3713,0,0,10,1644981847
