block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
18029267,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04339A6630246a4a2817a36b2E860482D46Bb264,429759231096,0,0,6066848060648492444,1629080958
18029327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04339A6630246a4a2817a36b2E860482D46Bb264,282930556746,0,0,1121108580025878318,1629081114
18038185,0x6417E6ca4E802EDCeAb32f917bE2f85edA97CF16,0xe9Bb87c33d1607B06fb3988b31E9601BD21Ff3bD,259944802348,0,0,583197803436065720,1629101791
18069089,0xcffd05069f618F02e49308A2d906Dcb9C65B51C2,0x6D579ffAFBD4A0B23A68730aDcd8eF62dca4C015,192721477260,0,0,296874279296047361,1629172139
18112521,0x4277aa03eA4c5f4992f1F34C3c1dDB7E3f6E0253,0x790BA8A375324c9B139A6734708A6945f0D3f696,0,133121378930971569,92767130572,0,1629272657
18214656,0x7Ecbd95580e0725Dd7378A51DE32271270383aF7,0x7Ecbd95580e0725Dd7378A51DE32271270383aF7,0,177731169858822652,106713331433,0,1629510316
18435232,0x7Ecbd95580e0725Dd7378A51DE32271270383aF7,0x7Ecbd95580e0725Dd7378A51DE32271270383aF7,9803969044,0,0,17490119354469042,1630029309
18926587,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,813172194838,0,0,874023448164952497,1631209662
19373005,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,0,1009009794657066893,881941274972,0,1632285482
19606299,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xe9Bb87c33d1607B06fb3988b31E9601BD21Ff3bD,765640142271,0,0,924899846911880774,1632820727
19888129,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,0,1037891953748030731,817002280578,0,1633476657
26495206,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x790BA8A375324c9B139A6734708A6945f0D3f696,0,5270258613961618,2402600214,0,1648546698
