block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19835341,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,100000000000000000,97750848089103280,0,1633356721
21732279,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5bC9eE2b5B2f7E6CC11ef5f6BE0C9E71b9fCF5C7,0,267166641443947065,243328259385531560,0,1637727658
21732297,0xbA704f21Dd900d675941D0a7E2256F029135cBB0,0xbA704f21Dd900d675941D0a7E2256F029135cBB0,0,407009653006827036,327481681665933794,0,1637727698
21732323,0x8094C9563a434ec25c9e1450B5f117127a35029b,0x8094C9563a434ec25c9e1450B5f117127a35029b,0,373845457774445879,262641486162203389,0,1637727750
21732401,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,342622049767137885,214169474867930406,0,1637727910
21732439,0x0DEF7259736F7d6Af8a2A59E35eC9b1da7e0c820,0x0DEF7259736F7d6Af8a2A59E35eC9b1da7e0c820,0,405093964406468739,225802756118075675,0,1637727990
21732492,0x0D08fF3bD97f3E398cA049652B7a82a12306b821,0x0D08fF3bD97f3E398cA049652B7a82a12306b821,0,318559611991616743,159777437080144697,0,1637728100
21732555,0x18008A3d4de136E090D0a71cb1dE601Fc8246225,0x18008A3d4de136E090D0a71cb1dE601Fc8246225,0,1000000000000000000,421205170520707356,0,1637728230
21732559,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x550F4D9377892Ac459E8AA51E04bde0cF213074E,142660843324823120,0,0,366243032530353019,1637728238
21746934,0x5bC9eE2b5B2f7E6CC11ef5f6BE0C9E71b9fCF5C7,0x5bC9eE2b5B2f7E6CC11ef5f6BE0C9E71b9fCF5C7,0,373208773840820382,144419840578066476,0,1637761179
21769693,0xD289d8d756902224B512CfeC702462C700692e16,0xD289d8d756902224B512CfeC702462C700692e16,0,424341144012272384,149080472527867435,0,1637811192
21770650,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,418493456865131244,133373152846504069,0,1637813476
21770697,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,418477698120351243,121612610899679286,0,1637813648
21804859,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,722300637702490977,186480474290420631,0,1637890556
21824332,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,498285571743785238,113990474253968229,0,1637935580
21883147,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,1247844516740565654,269149092569929064,0,1638067391
