block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23469343,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,3650000000,0,0,2416164806,1641623284
23471885,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,2400000000,3619265010,0,1641628659
23474836,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,3650000000,0,0,2403909928,1641634873
23475464,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,2400000000,3631508080,0,1641636428
23587986,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,5000000,0,0,4933880,1641890207
23652566,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,3650000000,0,0,2395763897,1642036678
23652894,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,2400000000,3639710429,0,1642037355
23652921,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,3680000000,0,0,2407988787,1642037409
23653481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,2400000000,3657250418,0,1642038566
23656144,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,10000000,0,0,9797617,1642044327
23656458,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,3695000000,0,0,2401318593,1642044975
23657297,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,0,5071277,11677170,0,1642046707
23660300,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,2400000000,3672418576,0,1642052902
23807848,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,456476088,0,0,420000000,1642382177
23807898,0x4b43E6bd39DB1481ee04CA7e3B7fDB7e4Ed8fD93,0x4b43E6bd39DB1481ee04CA7e3B7fDB7e4Ed8fD93,0,16938567,19395284,0,1642382281
23807898,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,430000000,461809263,0,1642382281
23807898,0x4b43E6bd39DB1481ee04CA7e3B7fDB7e4Ed8fD93,0x4b43E6bd39DB1481ee04CA7e3B7fDB7e4Ed8fD93,19395283,0,0,19043713,1642382281
23818913,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8d3fd4A4Aa6D28cE8ff276ce78a2980C56D80cf3,0,970000000,867487689,0,1642406156
23818934,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFfF5e77671f3cC5815CC8D45e20cf07678307683,1000000000,0,0,1092469360,1642406198
