block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16534742,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x75B58E07E927ddF3e15B990Ef91315ED3A4B4c6d,1000000000000000,0,0,2990994035957892,1625513719
16534742,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,2990994035957891,994009011910191,0,1625513719
16534767,0x0F85A912448279111694F4Ba4F85dC641c54b594,0xbB7422f8f671992fa552289CBE542946b491DCd8,1000000000000000000,0,0,2985047778961978432,1625513769
16534794,0xD253c52abceAD2FB75DbC93c10BbF88290746b16,0xD253c52abceAD2FB75DbC93c10BbF88290746b16,8583110401257907348,0,0,25140442080765032223,1625513827
16534804,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xBee34Dd58ED7bAACd947456398D673ED33b2e38F,26875526108906091043,0,0,73527863652234081580,1625513847
16534805,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8323aD97c2eab4B0CCA36a3cdf7Ee75821726580,4494866862043547000,0,0,11584511350754670132,1625513849
16534824,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xBee34Dd58ED7bAACd947456398D673ED33b2e38F,35833683709586497372,0,0,85912020189341408461,1625513887
16534824,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0,25451979668894847427,11036081080906211380,0,1625513887
16534826,0xae776034544F4CfaeaA1108fB252Bc0B69a19fEb,0xae776034544F4CfaeaA1108fB252Bc0B69a19fEb,0,61026066082775870977,24814987622281257741,0,1625513891
16534849,0xD253c52abceAD2FB75DbC93c10BbF88290746b16,0xD253c52abceAD2FB75DbC93c10BbF88290746b16,5942936065133239127,0,0,15031360201319280506,1625513941
16534849,0xD253c52abceAD2FB75DbC93c10BbF88290746b16,0xD253c52abceAD2FB75DbC93c10BbF88290746b16,4035830650473566583,0,0,10023079535948975749,1625513941
16534849,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,16219758060000000000,0,0,38846776870680715690,1625513941
16534875,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0,6187265748572334634,2631240374669998233,0,1625513993
16534880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8323aD97c2eab4B0CCA36a3cdf7Ee75821726580,17981892234519837000,0,0,40927144938978343798,1625514003
16534880,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0,18031612841840887728,8014022973062878296,0,1625514003
16535017,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8323aD97c2eab4B0CCA36a3cdf7Ee75821726580,897988505747126500,0,0,2033309117298380219,1625514285
16535018,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,7704813100000000000,0,0,17189234641600750242,1625514287
16535049,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8323aD97c2eab4B0CCA36a3cdf7Ee75821726580,898440307625961300,0,0,1974876369952224979,1625514353
16535061,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8323aD97c2eab4B0CCA36a3cdf7Ee75821726580,898424164016315400,0,0,1968782770142866628,1625514377
16535090,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,892857130000000000,0,0,1950608956007225127,1625514435
16537876,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,900900880000000000,0,0,1962173212490882634,1625520695
16538556,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,3286701661000000000,0,0,7107783078920570547,1625522223
16540965,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,900900880000000000,0,0,1934478483263731484,1625527577
16540967,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,891374316624009934,0,0,1908233794598810873,1625527581
16540969,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x37a22f80388255aa88A2d7CA9E3b625443229925,899147757587603035,0,0,1919068205968964265,1625527585
