block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20515728,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,1240928059861033525554,0,0,609923,1634976869
20600040,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x762D11C4baAFEc3fFd87b9daF89cf6ADF9e52926,0,2,4553950000000000,0,1635176202
20608969,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x842FE222dED7aAE74430C2231160462Ca4023E7b,0,73,111111111111111111,0,1635197149
20665943,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,40949756,38456304638720959618892,0,1635334171
20665991,0x484F20426f84836648D75f81fd3213694c38c4BF,0x1Bc6D92DE81Bcf62b3AE693F81DD7691C995BAA8,0,2689670,2439586653135514825081,0,1635334294
20666716,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x1542ac4A9CB9B969F6C3eE25e9dA64254aa273dd,5417607276748252353575,0,0,5922123,1635336090
20667638,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0xf0B65Db5a285eBF4fEAd4dB6b284ba20ED415dEe,0,4664062,4245448590110965776673,0,1635338228
20668223,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x0668E13dc61991AC8aBe1880E0acF5F58EaC7141,0,6590138,5946095108086817851142,0,1635339580
20668450,0xb80478b000BA07DA638C851B9A5536A587a63c62,0x1Bc6D92DE81Bcf62b3AE693F81DD7691C995BAA8,0,2753369,2466239530162637728150,0,1635340050
20668501,0xb80478b000BA07DA638C851B9A5536A587a63c62,0x1Bc6D92DE81Bcf62b3AE693F81DD7691C995BAA8,0,2270677,2025956893892497575748,0,1635340200
20668502,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x0668E13dc61991AC8aBe1880E0acF5F58EaC7141,0,8758909,7748576126737779705644,0,1635340204
20668648,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xa022AE9cfADefd62d70B510c27DC3D5DB67CA43b,1378694864064916936233,0,0,1557791,1635340586
20668845,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0xc7f1B47F4ed069E9B34e6bD59792B8ABf5a66339,2005976441824964146218,0,0,2259873,1635340992
20669033,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,4590979759426510880825,0,0,5142459,1635341380
20669227,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,5368351110642100354847,0,0,5961467,1635341807
20669842,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0xf0B65Db5a285eBF4fEAd4dB6b284ba20ED415dEe,0,8328125,7443546205737953894088,0,1635343351
20670021,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x0668E13dc61991AC8aBe1880E0acF5F58EaC7141,0,10767012,9489157204480849788875,0,1635343854
20670509,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0e52b007b93eF400E946F8e6d79A32F97df22FdE,0,1866405,1629718373542878085014,0,1635344989
20670624,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xf0B65Db5a285eBF4fEAd4dB6b284ba20ED415dEe,0,7005306,6077575770653872347408,0,1635345227
