block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
13927430,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,0,990,99699,0,1619808440
13927434,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,4925,0,0,48,1619808448
13927707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,0,990,99699,0,1619809039
13927710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,4925,0,0,48,1619809045
13927774,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,0,990,99699,0,1619809177
13927777,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,4925,0,0,48,1619809183
13927900,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,0,990,99699,0,1619809551
13927904,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,4925,0,0,48,1619809559
13927987,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,0,990,99699,0,1619809729
13927992,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xed5E9aF076036a007aAb0a7a773977067e933588,4925,0,0,48,1619809739
