block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14205856,0x2A5a2E486b9B2bC2c0E3b7ea45F72B63484EF4f8,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,6894755859374999552,0,0,5073254238971151916,1620399564
14206037,0x2A5a2E486b9B2bC2c0E3b7ea45F72B63484EF4f8,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,6894755859374999552,0,0,5058114173474868805,1620399938
14212952,0x971776ce2cc3960429296F659e9207C252EE4889,0x971776ce2cc3960429296F659e9207C252EE4889,14921874999999999999,0,0,10895458784865502454,1620414564
14213760,0x2A5a2E486b9B2bC2c0E3b7ea45F72B63484EF4f8,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,6894755859374999552,0,0,5010651557499702180,1620416371
14216596,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,5121346816104548900,0,0,3712230807222135328,1620422618
14217076,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,10410909193223353900,0,0,7521243088046636507,1620423737
14218399,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,5220162359164111800,0,0,3758599827458043933,1620426606
14218789,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,3648754968039045300,0,0,2622167692480122202,1620427410
14219046,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,4601359045182049400,0,0,3300915224544386242,1620427940
14223008,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,1538751086494602563,2133243342832495650,0,1620436522
14226242,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,3741663380855845018,5179105979368467636,0,1620443266
14228531,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,3782125407385694092,5223414787855962877,0,1620448036
14228795,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,5197516131166391818,7159072499926127354,0,1620448580
14233902,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,4481289723902884100,0,0,3235830379746016925,1620459211
14235402,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x1C95CAF0f9eD1a6492EAf37Fa1B44Ef714746527,0,3833443128736656170,5276212581187101158,0,1620462327
14239511,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,4297470760658672300,0,0,3104303015958948642,1620470971
14244576,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0,6249000496922697281,8591084619960734429,0,1620481984
14245701,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,1743366708851985453,2391093223706515866,0,1620484434
14245831,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,2761725926025974449,3782765300931206239,0,1620484702
14245893,0x269Cffdd11ab850237cdf08a0c8F6931c9145dC2,0x269Cffdd11ab850237cdf08a0c8F6931c9145dC2,0,4925249284835426650,6730855308907450917,0,1620484830
14247870,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x14Fe8382885F6717fe59c39252fb9d193cbf3d77,2472286551717067330,0,0,1799902590198745464,1620488910
