block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16715838,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0x021E9e559fDa9014aB99453B9Fa15487326640f9,28115090780806520282,0,0,12973503689404753706,1625942086
16715839,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,5291174069882347117,0,0,1722596544356630198,1625942092
16715840,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,7363415178463049082,0,0,2146439527678528212,1625942098
16715842,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,3381626423846725306,11146579328244324058,0,1625942102
16715848,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0x021E9e559fDa9014aB99453B9Fa15487326640f9,6991689509298447211,0,0,2184537307924135147,1625942114
16715873,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,6969700940307054734,0,0,1931981965712222018,1625942164
16715894,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,3251010055322271128,0,0,828616237902207504,1625942206
16715902,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,4491497304921425481,0,0,1077409467636444647,1625942222
16715904,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,1667465959227875025,6784745146290182424,0,1625942230
16715915,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,3810263073406513750,0,0,952630614341055620,1625942252
16715933,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,5658652474201874363,0,0,1314962406063722070,1625942288
16715959,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,4306375478805381273,0,0,928709507390470761,1625942340
16715972,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,2510704889582468399,0,0,515273858212395411,1625942370
16716032,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,2592972861747805098,0,0,513248654915263188,1625942494
16716040,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,2121336094629531449,0,0,406310547508382634,1625942510
16716049,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,3197757785525331423,0,0,590618315216685068,1625942528
16716049,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,6794008874194031145,0,0,1174378595422738948,1625942528
16716052,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0x2F445E8464C26FC525092D0263D57B6E581FA23a,0,1209657452603626661,6948932918202321423,0,1625942534
16716056,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,1930762351418854636,0,0,345288134010612875,1625942542
16716064,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,3165522472763912417,0,0,547367609601955784,1625942558
16716068,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,663762876891119217,0,0,111928727756561981,1625942566
16716078,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,662445223098074370,0,0,110752222179351611,1625942586
16716094,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,1920586751141607656,0,0,315823474924215893,1625942618
16716119,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0x021E9e559fDa9014aB99453B9Fa15487326640f9,6773216355221199453,0,0,1054775347274766553,1625942720
16716123,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,6899298738769789191,0,0,988423067306095784,1625942736
16716128,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,1892830744130205349,0,0,257361526814405432,1625942756
16716139,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,261533784468441001,1911780507314242530,0,1625942800
16716143,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,1888198041214544482,0,0,256812261004383088,1625942816
16716147,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,89685765997205929,660177795345436757,0,1625942832
16716150,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,1931631850485461618,0,0,258944616656049098,1625942844
16716205,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,1904920433062350794,0,0,249794177310479114,1625942976
16716214,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,1901143253311693253,0,0,243962527420040524,1625942994
16716247,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,3617715169410233420,0,0,450124882886050483,1625943064
16716253,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xE820B2d8452e5E0884fD58c1e682382354868D8a,0,169127467433813526,1368275460118450452,0,1625943076
16716275,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xE820B2d8452e5E0884fD58c1e682382354868D8a,0,331210390223931347,2620502859517071489,0,1625943120
16716283,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x2F445E8464C26FC525092D0263D57B6E581FA23a,0,251502267800537767,1939310674180301520,0,1625943136
16716315,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,1031653160421221587,7529593539497359136,0,1625943204
16716334,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xA1e442529c2FAaD634685F456Dde613Cb1499BE2,1939909880812563738,0,0,272950492497392129,1625943242
16716346,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,389538238914286467,2738824975617280632,0,1625943266
16716354,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xE820B2d8452e5E0884fD58c1e682382354868D8a,4525063939542667285,0,0,633151316275357752,1625943286
16716354,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,2834672251096635227,0,0,379898080183588405,1625943286
16716361,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,92664476639430390,695863540047985272,0,1625943300
16716362,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,274662336240632626,2030285742475810344,0,1625943302
16716369,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,93680418144641998,681636052612096958,0,1625943316
16716380,0x4fB520Ee0A14d8f0C39c5168F3098438CB3dce56,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,361087812244144463,2577395623032625122,0,1625943338
16716388,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x460Bf0881C81be3e21A977A6b15a9FddD64ee4C7,0,291510932434101405,2024629372830622349,0,1625943354
16716423,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,4527560723321033800,0,0,638560934444971541,1625943428
16716474,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x460Bf0881C81be3e21A977A6b15a9FddD64ee4C7,0,470781419232828102,3341630383691667710,0,1625943530
16716478,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x021E9e559fDa9014aB99453B9Fa15487326640f9,678404253846624120,0,0,96515332967940672,1625943538
16716484,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xE820B2d8452e5E0884fD58c1e682382354868D8a,0,97896794198694616,683969289321447286,0,1625943554
16716499,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,5217942633447084245,0,0,722951552204014183,1625943584
16716503,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,458872338880918069,3329229377491694252,0,1625943592
16716508,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xe43ef5b7fe30CC9d8CACCc141Cff6E2Debf5E518,0,288566940743547598,2028537244230006966,0,1625943602
16716538,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x460Bf0881C81be3e21A977A6b15a9FddD64ee4C7,0,291594075802301111,2000965362384490199,0,1625943662
