block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
18630269,0x095A4D1b1FA8CfD4f802bDC31222B4970a815685,0x3667aB11Be2693bfA5cC7e2cC95F40B241E569b3,131805419921875008,0,0,20812151042895368593,1630513585
18642396,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0,3665395054799876534,28361254102988398,0,1630542263
18645142,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9b70F5D1F44BA68B4B16840D0d530CC68939440,0,9093103448275862067,64094588398366473,0,1630549080
18645144,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x3667aB11Be2693bfA5cC7e2cC95F40B241E569b3,27194281108641875,0,0,3981306041494501302,1630549084
18646070,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9b70F5D1F44BA68B4B16840D0d530CC68939440,0,11568103448275862067,74609548529423524,0,1630551121
18646849,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9b70F5D1F44BA68B4B16840D0d530CC68939440,0,10562068965517241377,58779337597036168,0,1630552731
18646849,0xfeA4bA0D516162F994AFa8D6Da51f87d4a184993,0x3667aB11Be2693bfA5cC7e2cC95F40B241E569b3,38565902402378668,0,0,7049064030855207931,1630552731
18647707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9b70F5D1F44BA68B4B16840D0d530CC68939440,0,10957758620689655169,58199782092443717,0,1630554627
18647707,0xc1608327B8F0d389C1024C63246c1c2bB27C529c,0x3667aB11Be2693bfA5cC7e2cC95F40B241E569b3,18035888671875000,0,0,3537918656132145601,1630554627
18648684,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9b70F5D1F44BA68B4B16840D0d530CC68939440,0,12708620689655172411,61027024556642479,0,1630556659
18648684,0xCF8798BbE7a51051F19b73CE7d99F661196288FE,0x3667aB11Be2693bfA5cC7e2cC95F40B241E569b3,20538330078125000,0,0,4468255783011083327,1630556659
