block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23095952,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,512069851052901900,1640765484
23095991,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,165071719884715577,1640765562
23096012,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,81553041240231916,1640765608
23096089,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,48631791319725925,1640765766
23096154,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,32301257056148883,1640765900
23096162,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,23015866190864685,1640765916
23096211,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,10000000,0,0,80936408886314941,1640766018
23096725,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEAAAF612E0c1Ddd7DcBC0e14d7364c7a75278C37,0,182027119865743501,12930177,0,1640767078
23097212,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,47386930470167106,1640768080
23097386,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,31659078720344366,1640768440
23097404,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000,0,0,22648849987978208,1640768476
