block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19704705,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6d49143036FB9241B20Ff50d298B2b5625a9b3F8,501755391236239986,0,0,25000000000000000000,1633061428
19705105,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,1000000000,0,0,49800087537,1633062288
19705105,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0,49800087537,994008999,0,1633062288
19713932,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3C5445D86364f865c3E9cDcbd319a6258be7f1Ab,2000000000000000000,0,0,99556550048439173627,1633082401
19758909,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,99556550048439173627,1988023232396526232,0,1633180193
19838309,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0,2767291574479085621413,54572825437278400573,0,1633364038
19855693,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,28806073470480031324,561171833943388857,0,1633404605
19856816,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,56549553833949269373,1101235510800952748,0,1633406936
19861687,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,44290871755495221689,862134872035875360,0,1633417256
19865422,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,100216991778091416177,1949531744185655350,0,1633425725
19865746,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,33080718609455572752,643150569568766325,0,1633426404
19866049,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,78655452263591740390,1528467952549928474,0,1633427158
19866225,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x70c096187F8a9ac03E34a0e7ed41bCd516878158,0,92988871415596226626,1805657946044577031,0,1633427518
19873742,0x484F20426f84836648D75f81fd3213694c38c4BF,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,3677720898044926887,0,0,188185043810687840153,1633443881
19874204,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,4978518112499355002,0,0,254255839628228578622,1633444833
19885151,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,1785754126971154688,0,0,91062467412048672237,1633468234
19885864,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,2111377674535255411,0,0,107574173110240306574,1633470090
19890776,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,1238105181115736320,0,0,63034266609867138400,1633483946
19893847,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,2808208774241687040,0,0,142843024587138588411,1633491944
19894503,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,3706114467242021888,0,0,188244147199186451461,1633493424
19894887,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,4114477778925086778,0,0,208624417624819488426,1633494474
19901156,0x484F20426f84836648D75f81fd3213694c38c4BF,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,6089064862914226345,0,0,308049737861301538677,1633509236
19902124,0x484F20426f84836648D75f81fd3213694c38c4BF,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,819902435023164836,0,0,41415998945954696465,1633511488
19902228,0x484F20426f84836648D75f81fd3213694c38c4BF,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,470728777573726243,0,0,23771292993964265653,1633511704
19902249,0x484F20426f84836648D75f81fd3213694c38c4BF,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,404618782703902421,0,0,20428858097898367590,1633511746
19902403,0x484F20426f84836648D75f81fd3213694c38c4BF,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,196509905667250513,0,0,9920299706332432166,1633512074
19919367,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,4797377716351065088,0,0,241916809522332257271,1633552835
19919739,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,2233010155940693760,0,0,112429034848262538608,1633553599
19921197,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,3731396981555828515,0,0,187623920537253890693,1633556865
19921816,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,3020836447139733504,0,0,151669247508644186415,1633558290
19936565,0x484F20426f84836648D75f81fd3213694c38c4BF,0x484F20426f84836648D75f81fd3213694c38c4BF,0,231456189774313050509,4580777944170048029,0,1633590532
19938815,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0x1a317c64fa48Ee330e8aBe0Ad6Dce3a83aD6648d,0,140802469888212779442,2782104932852482455,0,1633595940
19939549,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,142770839458138094935,2817504802781647334,0,1633597715
19948475,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,3237593994639570944,0,0,163060582928425063280,1633618519
19953048,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,1650804793399024384,0,0,83052694274180550710,1633628614
19970341,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,142491734711564250823,2814558766123234484,0,1633667405
19972350,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,157903508758320816262,3114889029024916225,0,1633671759
19974432,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,75830669074646916620,1494349689180892773,0,1633676185
19974548,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0x5E58e0CeD3a272CAeb8bA00F4A4C2805Df6BE495,0,492601330727195506493,9683397555255074083,0,1633676460
19977041,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,203507141479707648635,3988354051087377905,0,1633681949
19977192,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,276980543479202560430,5416961827423419300,0,1633682341
19979141,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,249789519940832261288,4874010338817687680,0,1633686577
19979612,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,219605823164772457498,4276328306584433436,0,1633687669
19979771,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,298468858348611599880,5798970005846873879,0,1633687995
19979907,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,238624099268889791426,4625467040791888968,0,1633688407
19979990,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,252898053191665666208,4891738888104201123,0,1633688579
19982375,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,4504844779214723072,0,0,231522173514764026953,1633693784
19983197,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,6208194820000000000,0,0,318303935043300159884,1633695668
19986274,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,234144662111323692756,4541082790585700504,0,1633702445
19987924,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,4525925556817595456,0,0,231967246520208481469,1633706105
19991917,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,1864678895791410432,0,0,95434473616155520959,1633714742
19997394,0xc56c0E532AcE2942Cb3E604127AD24FDb8d1d022,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,2828155517578124800,0,0,144594397419768818385,1633726864
20002418,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xcEa6b0ECcf0de9b2A35eeD63D806Cc344D6482DB,1314717820099328768,0,0,67155343073021389779,1633737943
