block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17597302,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,10381970582978199375462,0,0,5067295,1628047396
17610228,0xbfED3a8B27F35A8cc6b7B75F11B438a163F97218,0xB27Ce5834988DC507f41402F83056E73d551D0F2,0,11240,801561123829702512477,0,1628076387
17758535,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,1944965992106761185673,0,0,24502,1628432786
18196416,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,763935,10146851103953761469961,0,1629467866
18196890,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,762252,765333646233489275131,0,1629468853
18197149,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,1523790,428841825284219361597,0,1629469418
18197153,0x28bd1cdddfDcc70314c70023205B5f342368D6B0,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,6167349743344779210,0,0,41344,1629469426
18593297,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,841769500000000000000,0,0,2005160,1630422678
19072596,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,0,145820,150000000000000000000,0,1631565237
19076077,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x06f3fFfE777D69c0575BF51357D2e965F6385D9b,0,443701,300000000000000000000,0,1631573571
21167708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,11241792592936094743256,0,0,1594689,1636459148
23481769,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA17F7De14EE47eFb1c822a7610781c3679bCDf92,0,628522,10120494366047254496770,0,1641649953
