block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
22635958,0x74491E0c19F3c90058169b1aDF34a97415C00C6B,0x74491E0c19F3c90058169b1aDF34a97415C00C6B,0,1639430215795574345,620423050488279192,0,1639754681
22635959,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x47Fc9d7751806339D820E1C26Cf0BAdB04363196,200000000000000000,0,0,909021309869924381,1639754683
22635960,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x632294808f70EAe6D669b6A1e2969B7289C38553,200000000000000000,0,0,442944474875482738,1639754685
22635961,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,803678712906377888,299056929732108728,0,1639754687
22636031,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x6688F4189c0edaeC232cCf49d769E8B96C453083,68377176192819704,0,0,259813314328906439,1639754831
23026039,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,7458261665402850395,1754635789078727178,0,1640613770
24100961,0x7D9c6e2Be54299e6B8C5B256B5d5D458e585b913,0x7D9c6e2Be54299e6B8C5B256B5d5D458e585b913,0,19572880319577486112,3080442795480938640,0,1643018578
25786418,0x341a3e1fb922500Bf5eD21687eb260e835e85e86,0x341a3e1fb922500Bf5eD21687eb260e835e85e86,0,5463242527128666,440633481948427,0,1646877212
25786457,0x341a3e1fb922500Bf5eD21687eb260e835e85e86,0x341a3e1fb922500Bf5eD21687eb260e835e85e86,0,3792238868856110,144449068032782,0,1646877294
25786457,0x341a3e1fb922500Bf5eD21687eb260e835e85e86,0x341a3e1fb922500Bf5eD21687eb260e835e85e86,0,686528683722188,19722545261760,0,1646877294
26370649,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,63004983909174,0,0,2014819495422946,1648270315
26505489,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaBf08b3F5bc190cd9B0cb329ea5D03701c2A09d0,457763671875000,0,0,7216952761308042,1648569162
