block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20993956,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0x2cF7252e74036d1Da831d11089D326296e64a728,106508156675334167602739,0,0,15640858,1636077468
20993958,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,15106324626692062847237,0,0,434316,1636077472
20994131,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x827ab2cbaFdb21Bb5F475e19d0c0e2197e693cdF,7355455691756865361630,0,0,181542,1636077830
20994312,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,135678391959798988994975,0,0,1723269,1636078207
20994584,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x3E57403b3904Ebe3c07bDe68E4C135A24a6384D7,0,87663,12203040242660439463624,0,1636078767
20995181,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3B31Bb4b6bA4f67F4EF54e78bCb0AAa4f53DC7fF,331501462148788184040758,0,0,1137222,1636079997
20995206,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x47f4933BF7D8a0866a74F7553F4a2444859E8c77,0,209207,108539683506158899484519,0,1636080051
20995218,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,35541634025385592518817,0,0,77347,1636080075
21008458,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3B31Bb4b6bA4f67F4EF54e78bCb0AAa4f53DC7fF,986432160804020052261307,0,0,711342,1636108303
21008537,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x3E57403b3904Ebe3c07bDe68E4C135A24a6384D7,0,41254,145346597206575426969603,0,1636108517
21009425,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x3E57403b3904Ebe3c07bDe68E4C135A24a6384D7,0,210828,452057212313399862711766,0,1636110686
21009850,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,787529226895826337813742,0,0,294450,1636111818
21010244,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,2301767960727151476516261,0,0,199404,1636112634
21010246,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x4574A3F05a04ea798621d86aAC4e46C60Ff7a34d,0,210482,2348851972610193178258951,0,1636112638
21010489,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0x0ca60238F931deCD9ca035319Ef402AD5a7c6435,1706920268293916573547881,0,0,181537,1636113136
21018048,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0x4574A3F05a04ea798621d86aAC4e46C60Ff7a34d,0,97624,1193129712139868218513940,0,1636129792
21020861,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x3907A4E8FAd5B08d6c4b7C4fCCfac5e6E1eCf9c9,1807143165331152555969544,0,0,124666,1636136339
21039095,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x3E57403b3904Ebe3c07bDe68E4C135A24a6384D7,0,59802,1129186956410856786397533,0,1636176653
21455789,0xD289d8d756902224B512CfeC702462C700692e16,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,143963210082027312598340,0,0,5361,1637106698
21615371,0xD289d8d756902224B512CfeC702462C700692e16,0x3E57403b3904Ebe3c07bDe68E4C135A24a6384D7,0,2345,86836640482738523142242,0,1637461283
24400362,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x170dFf1826595155D2cF50E6DF3b3649cAF74435,101038261603712507672113,0,0,2591,1643673459
24400366,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x170dFf1826595155D2cF50E6DF3b3649cAF74435,101126985318811839166646,0,0,1305,1643673467
24880406,0xe5AC7Ad148E5c29650b40b6EBA4a8a612e4C8fCA,0xe5AC7Ad148E5c29650b40b6EBA4a8a612e4C8fCA,102000183804339230000000,0,0,791,1644728938
