block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23655453,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x48Cb62Ae080DDf2Aa18b2d69e83410dC3225B6eC,200000000000000000,0,0,263411832123287745,1642042890
23656476,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,35599733048179759,26929071250225558,0,1642045011
23656488,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,24721896483383632,18689402818185627,0,1642045035
24133238,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,21884799903172368,0,0,28774606436474148,1643087175
24359913,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,1000000000000000,0,0,1314450323334221,1643584392
24359919,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0,1314450323334221,994009073479605,0,1643584404
24643807,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,14506980841515215,10968799107519911,0,1644210594
24694223,0x383E79486D3EcDCdDc85ce59c4AAc7F1a6637AE8,0x383E79486D3EcDCdDc85ce59c4AAc7F1a6637AE8,0,3077163181328334567,2261419651602373629,0,1644321181
24695411,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,503515146175679360,0,0,696213081205312545,1644323913
24702260,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,390763936601888768,0,0,534254000808242946,1644339438
24708784,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,421377891312953906,306682601808701756,0,1644353281
24713301,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,525254314194808893,378990107032657033,0,1644362857
24723354,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,290884366902451648,0,0,401186126501787717,1644384475
24731753,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,429553458603096700,309513475442985926,0,1644402716
24732721,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,441318042993743644,315479570401098607,0,1644404712
24735663,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,452549709535895114,320897473645656068,0,1644410780
24738969,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,454763982017517542,319836479281838781,0,1644417732
24739562,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,680979750433260141,474074129848499336,0,1644418954
24753501,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,506445260684710746,348843522788837525,0,1644449154
24757146,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,356484560884670976,0,0,514401184701502212,1644456929
24759650,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,421423545294460416,0,0,602048909675973221,1644462223
24773789,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,584793540718291689,406968561461119966,0,1644493220
24776971,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,812922485788938122,0,0,1155169982268670639,1644500077
24778127,0x6F1b8267daac03d73e26834aa8288F35514e46b8,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,1089444228108384631,0,0,1511106108675182005,1644502598
24779714,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,2136747137270986484,1522808058402548908,0,1644506000
24786293,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,715254753665665352,0,0,1007934996111893050,1644520362
24788851,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,469508980647948480,0,0,651734547005615472,1644526150
24794035,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,398501065697143616,0,0,547136809832730702,1644537861
24794530,0x6F1b8267daac03d73e26834aa8288F35514e46b8,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,731310184336441256,0,0,989969868966189957,1644539141
24797272,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,522044897871140288,0,0,695736050441879434,1644545676
24806045,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,455070834242438959,340185479765441085,0,1644566035
24814650,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,380902739980359741,282542628133886077,0,1644586993
24823103,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,704150828114139648,0,0,938709982861481290,1644605089
24824805,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,366861483307020992,0,0,482623654414942214,1644608609
24825561,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,604675325823926144,0,0,786051096411754157,1644610169
24826397,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,653321667632663808,0,0,836354826734841305,1644612038
24829144,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,557185820058028736,0,0,702901119302326183,1644617706
24830433,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,460753677973799040,0,0,574173002182285121,1644620373
24834287,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,363117696633420733,290238303488308879,0,1644628653
24843224,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,684169040621471360,0,0,846871186989870056,1644648147
24866165,0x284796bfc609bE04fD2834354bD5b6e357FD4330,0x284796bfc609bE04fD2834354bD5b6e357FD4330,0,986926399317242363,791517380033857891,0,1644698009
24872286,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,334856065451027392,0,0,417312131791470068,1644711171
24902683,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,694657717527390464,0,0,855139222434208300,1644777983
24913275,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,936958660779966208,0,0,1131330250020441551,1644802960
24935086,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,492170319032518296,407718485144669882,0,1644850400
24952603,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,1140526133651947051,929950984190879164,0,1644889198
24956030,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,611473329590239791,490196856622996019,0,1644896925
24963671,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,628452907609664768,497854454904959151,0,1644913730
24967194,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,651113612894668604,509553925244842081,0,1644921424
24974348,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,1332356352425433278,1023349143968719394,0,1644936354
24988824,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,1065910870066670504,800509712924451339,0,1644968829
24993598,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,401266854795726016,0,0,533749830894860559,1644978860
24997041,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,407364321884982976,0,0,536473165588632862,1644986236
25021579,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,1114840950505235138,836995144510970633,0,1645041862
25034660,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,994921636460436608,0,0,1314785310362733906,1645070789
25051879,0x38993804A68B741B3CAA51FA3258671641d31097,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,1021892734005636937,0,0,1317420144656792974,1645109647
25057402,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,1069966208191790848,0,0,1344875082585865537,1645123326
25084403,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,1695872306611585792,0,0,2062487329948750948,1645195484
25113089,0xAD6878c9C20D455981cd4526D5b2DfEeEb94192a,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,849164637875566675,0,0,1002207401058539294,1645270598
25143812,0xAD6878c9C20D455981cd4526D5b2DfEeEb94192a,0xF734C0CeE5B9165781504d0f05B09c36c08e7A11,908934650199681221,0,0,1051083298115096407,1645338131
