block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21554536,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,238692275848175849,0,0,2051614647434526012,1637326259
21554536,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0x32dE8DB551C9c600E05987Cbc8a178D412696787,6820144686731272984,0,0,12971511347693461461,1637326259
21554547,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x32dE8DB551C9c600E05987Cbc8a178D412696787,1474929854615243881,0,0,596432809522719672,1637326281
21554672,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x32dE8DB551C9c600E05987Cbc8a178D412696787,3469171406739895037,0,0,908222156128380993,1637326539
21554987,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11a768b4Acf0212E9B0800d1B8142763518A4fC5,0,145306646455883789,696906197148307883,0,1637327189
21556697,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x32dE8DB551C9c600E05987Cbc8a178D412696787,1638179806767760086,0,0,318285661212174282,1637330717
21558288,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,239877566196370597,1261927731140151716,0,1637334025
21559858,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,296731055775672059,1293733975854079551,0,1637337278
21571650,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x32dE8DB551C9c600E05987Cbc8a178D412696787,665298335503178609,0,0,159050399411972861,1637362289
21581170,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x32dE8DB551C9c600E05987Cbc8a178D412696787,1113400896031995945,0,0,232813008739205457,1637383256
21583330,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xe7519Be0E2A4450815858343ca480d1939bE7281,0,40299875810523574,204907589822207546,0,1637387981
21599359,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x32dE8DB551C9c600E05987Cbc8a178D412696787,1128185051674045804,0,0,207116058824627907,1637426562
21599482,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,159602062348471869,879550985909134504,0,1637426816
21600833,0x484F20426f84836648D75f81fd3213694c38c4BF,0x32dE8DB551C9c600E05987Cbc8a178D412696787,754389673967763501,0,0,137253189874454135,1637429866
21601962,0x484F20426f84836648D75f81fd3213694c38c4BF,0x8C1b40Ea78081B70F661C3286c74E71b4602C9C0,0,364960876191326102,1841410992609891602,0,1637432216
21609503,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x32dE8DB551C9c600E05987Cbc8a178D412696787,2270635065133657329,0,0,435216575338390797,1637448411
21631970,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11a768b4Acf0212E9B0800d1B8142763518A4fC5,0,121808454488280759,706962819203708098,0,1637498547
21639852,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,250432845056200040,1266942658549651774,0,1637515963
21643860,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xaFeADaD187e3C80eFD2C7066E9db80DB3AE33A4b,171274676950427407,0,0,36376131246269623,1637525136
21644385,0x484F20426f84836648D75f81fd3213694c38c4BF,0x32dE8DB551C9c600E05987Cbc8a178D412696787,851447447995641480,0,0,168059489366000875,1637526218
21648279,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,292951627832827994,1414217969241114037,0,1637534929
21671744,0x484F20426f84836648D75f81fd3213694c38c4BF,0x32dE8DB551C9c600E05987Cbc8a178D412696787,2649120133561844894,0,0,502909795006545937,1637586467
21678901,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x4Fa57B589E13099485b2f92165bE221fdF4D424c,0,281516029126633162,1593455566774678269,0,1637603266
21706522,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x32dE8DB551C9c600E05987Cbc8a178D412696787,1215569014307852990,0,0,218859410032193954,1637669768
21715983,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,233396844915249607,1282428687790610599,0,1637691472
21716762,0xCB07D4112D41be62e61f2C93cbe62e3d8C39F23d,0x32dE8DB551C9c600E05987Cbc8a178D412696787,4568870545671191661,0,0,681064301001726104,1637693334
21717411,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x7AfcF11F3e2f01e71B7Cc6b8B5e707E42e6Ea397,0,267596238037461022,2098816350967785645,0,1637694672
21739497,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,523821705717590558,2983940385469264887,0,1637743278
21779006,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x1dBba57B3d9719c007900D21e8541e90bC6933EC,0,358868475563548372,1488906180455071599,0,1637832066
23278522,0xd6be7BfBF4fD5196dA2fb8323e9bFEe74B086c07,0x32dE8DB551C9c600E05987Cbc8a178D412696787,90674556592423327,0,0,2586317364515232,1641165018
23278659,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1dBba57B3d9719c007900D21e8541e90bC6933EC,0,1597895647190485,85032142437883919,0,1641165432
23673403,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1dBba57B3d9719c007900D21e8541e90bC6933EC,0,2275698718258788,8888825439410497,0,1642082241
24193759,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x32dE8DB551C9c600E05987Cbc8a178D412696787,30387755555386410,0,0,3354015185435897,1643218080
24194563,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1dBba57B3d9719c007900D21e8541e90bC6933EC,0,3100385229696402,29867763457940135,0,1643219934
24194797,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0xaFeADaD187e3C80eFD2C7066E9db80DB3AE33A4b,2947342149647230,0,0,1056665573785504,1643220414
24241055,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1dBba57B3d9719c007900D21e8541e90bC6933EC,0,1668943162308559,4010689171049684,0,1643320437
24416566,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xaFeADaD187e3C80eFD2C7066E9db80DB3AE33A4b,896500947812980,0,0,519372167460459,1643709360
24421798,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x32dE8DB551C9c600E05987Cbc8a178D412696787,2937683339489926,0,0,1095836005828194,1643720924
24439127,0x6F1b8267daac03d73e26834aa8288F35514e46b8,0x32dE8DB551C9c600E05987Cbc8a178D412696787,14282480823421387,0,0,1665716069972703,1643758099
24439575,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x9A8b2601760814019B7E6eE0052E25f1C623D1E6,0,536485138278534,7469908246326487,0,1643759023
24439593,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0xaFeADaD187e3C80eFD2C7066E9db80DB3AE33A4b,1831658897701693,0,0,168972736819140,1643759059
24439597,0x6F1b8267daac03d73e26834aa8288F35514e46b8,0x32dE8DB551C9c600E05987Cbc8a178D412696787,5646896243324152,0,0,365609186614449,1643759067
24439709,0x0000000000085a12481aEdb59eb3200332aCA597,0x32dE8DB551C9c600E05987Cbc8a178D412696787,29447140250825293,0,0,679733306459838,1643759359
24439709,0x0000000000085a12481aEdb59eb3200332aCA597,0x32dE8DB551C9c600E05987Cbc8a178D412696787,29439275408785205,0,0,202974218363669,1643759359
