block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19930668,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x4f5dF10B9991482bCD2DB19DAE1FD0e0184397c2,0,20771018467624697,5405872,0,1633577473
20123315,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,93336809090141,23638,0,1634011790
20142743,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,50055708393648,12222,0,1634054886
20184521,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE7B38ae4A2e6c7a35B425f9F8F225cC1FA1c129A,35057,0,0,139479310377538,1634154706
20184521,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8b1564743f2ABa2C45C3Dd24c6A19dD4cbb8b632,35057,0,0,130049291254610,1634154706
20198068,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,176654476150178,46780,0,1634187338
20212137,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,25468,0,0,97626824064279,1634220937
20305917,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x09c23A2387300E2fDc1e1917caB74bD61514Da36,0,204360196189342,51592,0,1634458813
20327565,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4B1F1e2435A9C96f7330FAea190Ef6A7C8D70001,0,213739124681,51,0,1634513315
20333817,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4B1F1e2435A9C96f7330FAea190Ef6A7C8D70001,0,55957175709575,13220,0,1634528883
20475092,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xa34Fac364066C9F4865037Cf0eC196b99e1F5e1A,155,0,0,661115405168,1634876385
20482662,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,56948,0,0,229156778791451,1634894681
20527991,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,82541,0,0,289667099816930,1635005137
20538466,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCD578F016888B57F1b1e3f887f392F0159E26747,0,54417389729535,16425,0,1635029304
20541233,0x651f3Cb283bCD359c8DFF600392DBF1c53d65FA9,0x651f3Cb283bCD359c8DFF600392DBF1c53d65FA9,0,5113722491895,1518,0,1635035878
20541581,0x651f3Cb283bCD359c8DFF600392DBF1c53d65FA9,0x651f3Cb283bCD359c8DFF600392DBF1c53d65FA9,0,5375949489467,1591,0,1635036626
