block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16145564,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x75B58E07E927ddF3e15B990Ef91315ED3A4B4c6d,1000000000000000,0,0,1892,1624652491
16145564,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,1711,898810613324152,0,1624652491
16184161,0xa462Bc887B9904e964Cd91a560101FC9a9348397,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,355010986328124992,0,0,496609,1624743897
16290038,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,191368,162199811537765173,0,1624976735
16290274,0xA15f3CA5B8B3Bf00f9A8f1d0bB1F007b0B13AF0f,0xA15f3CA5B8B3Bf00f9A8f1d0bB1F007b0B13AF0f,0,82020,58181379992114583,0,1624977241
16297680,0xbeB6e0aE5616559663DDC202e6ba00Dfdedc098C,0x77CDbcaCD15AF4EfAB1C9A995Ae0768933EAf5De,45867919921875000,0,0,64950,1624993603
16297721,0x7D9c6e2Be54299e6B8C5B256B5d5D458e585b913,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,43914794921875000,1,0,57631,1624993685
16297911,0xEf8A7d851E84Ecd05C01d90CfCbf4e09757eB651,0x77CDbcaCD15AF4EfAB1C9A995Ae0768933EAf5De,60089111328125000,0,0,72483,1624994108
16298078,0xE04349940a1dbe8e87e89c60991472d41108a287,0x77CDbcaCD15AF4EfAB1C9A995Ae0768933EAf5De,81695556640624992,0,0,88336,1624994454
16298116,0xEf8A7d851E84Ecd05C01d90CfCbf4e09757eB651,0x77CDbcaCD15AF4EfAB1C9A995Ae0768933EAf5De,13397216796875000,0,0,13488,1624994534
16325834,0xbA704f21Dd900d675941D0a7E2256F029135cBB0,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,45440673828125000,0,0,43864,1625056324
16326260,0x8cd31B315bfBcb24E046F85EC1d6848B8bF643b4,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,33477783203125000,0,0,30570,1625057200
16326314,0xc675Dd5cC3689c89DEd5F09ef741Ee16F7688A03,0x77CDbcaCD15AF4EfAB1C9A995Ae0768933EAf5De,36834716796875000,0,0,32056,1625057312
16331028,0xA6fb8936832dfc2D5e72bd176F87E4CDB35Aa0dC,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,49896240234375000,0,0,40990,1625068251
16364221,0x723A415fB8B3Dcd0Da052c6DFDaB62693B0962B1,0x77CDbcaCD15AF4EfAB1C9A995Ae0768933EAf5De,30000000000000000,0,0,23396,1625141955
16369392,0x4A1bEfba0Ade13d3B725a8d8cE8D1B38fF8CE793,0x3379B7358DA8560AF1659329Ca18DdC478fE439a,0,6494,8384221098110018,0,1625153506
16743533,0xAFE40ED1ad7783F5df68c9BB8795238FCC347AdD,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,1068115234375000,8,0,181,1626007881
16744356,0x504Df711c06b406629A78Dce63fb507C95c6D8F6,0x2eDb6554d7Bd51381a6fDb0707c18D2ebF060035,2838134765625000,0,0,40,1626009909
