block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20375747,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,26440514257,64144760164380724,0,1634636634
21819889,0x0FB394ABD7814aE5aa224a352508679F95eBc6ee,0x0FB394ABD7814aE5aa224a352508679F95eBc6ee,0,19215868586,29190831895102130,0,1637925769
22161683,0x1FA97AD2f5F12D3153cf15053C2E35570c85dDAa,0x1FA97AD2f5F12D3153cf15053C2E35570c85dDAa,0,15516072907,17624893277815162,0,1638701221
22508570,0x74491E0c19F3c90058169b1aDF34a97415C00C6B,0x74491E0c19F3c90058169b1aDF34a97415C00C6B,100000000000000000,0,0,57443204491,1639473762
22508571,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,25673861224,57883760407222658,0,1639473764
22533342,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,21587663904,30627010386407184,0,1639530392
22687967,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0,8313611533,9197183025063712,0,1639871350
23451798,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x0F885cB1FFA7DdeA42f51858e8b0a0e17d53162F,77335926501602416,0,0,68429789927,1641584271
23460409,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,500000000000000000,0,0,274720738501,1641603570
23460409,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0,261649950614,481798985483475292,0,1641603570
23462242,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,500000000000000000,0,0,267229994043,1641607740
23462247,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,262579660676,492079132084503679,0,1641607750
23462272,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,500000000000000000,0,0,264360043488,1641607804
23462274,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,257499897928,489132936789229605,0,1641607808
23462276,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,500000000000000000,0,0,260316345125,1641607812
23462278,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,263196197841,501696690144142231,0,1641607816
23462280,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,500000000000000000,0,0,261524025758,1641607820
23462282,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,234916650037,462355065721962383,0,1641607824
23462846,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0,49238908940,64065698821221493,0,1641609112
23468074,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,0xc701e8DAd4CAE51D100BB3ce4888A22d0A27c366,500000000000000000,0,0,273429196249,1641620666
