block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17874863,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x75B58E07E927ddF3e15B990Ef91315ED3A4B4c6d,1000000000000000,0,0,323264960483439,1628703939
17874863,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,323264960483438,994009595451597,0,1628703939
17875262,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0,58477340628453470,178510632984117460,0,1628704889
17878671,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,254691553225751133,0,0,82685538912030228,1628713889
17879722,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,232723387238995789,0,0,74100565877551083,1628716533
17880849,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,1867436927099483212,0,0,548766246114195262,1628719401
17881089,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,312641284898137898,1090020529772996590,0,1628720081
17883962,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0,53663186681116357,178342536016994203,0,1628727190
17887052,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0,77967033404618471,254805508041635531,0,1628734487
17887494,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0,61145045048633488,196343714394362086,0,1628735601
17891629,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xF01a0a0424bda0aCDd044a61aF88a34636e0001c,254842672858147711,0,0,78711904752396301,1628744835
17892364,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,475376124292868862,0,0,142740447972561942,1628746548
17892964,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0,39877580585178943,133764715874381337,0,1628747950
17893870,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xF01a0a0424bda0aCDd044a61aF88a34636e0001c,264945850542940592,0,0,78123976598945821,1628749849
17894180,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0,43491774990682371,147274424323701576,0,1628750650
17895093,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0x39d316aa7Cd6ccF176C8407198412E28877f6C7C,0,58600173662861267,195845014080888609,0,1628753006
18396013,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x7D49d50C886882220C428aFbe60408904c72E2dF,936019704954533,0,0,168524302601740,1629933476
18994772,0xF5EfD822a4D14Af1b4D691fa7564eC5354980929,0xF5EfD822a4D14Af1b4D691fa7564eC5354980929,0,102293429591300,671229868629461,0,1631373553
20446912,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCed486E3905F8FE1E8aF5d1791F5E7Ad7915f01a,0,567000000000000,1024334470650914,0,1634809290
20447285,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCed486E3905F8FE1E8aF5d1791F5E7Ad7915f01a,1020000000000000,0,0,564756214137286,1634810184
20447344,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCed486E3905F8FE1E8aF5d1791F5E7Ad7915f01a,0,560000000000000,1014274917512856,0,1634810306
20452138,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0xF01a0a0424bda0aCDd044a61aF88a34636e0001c,22771547480950737609,0,0,20244786423799757126,1634821274
