block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
25835193,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd6aaB0F9aE043D3651Ad2d31c0ecCA310a9C0BEE,10000000000000000,0,0,2486302890046558951812,1647020142
25842370,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3965000000000000,0,0,982150425105976029151,1647038113
25913001,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9215346DfB0e3497b7bd40306b55b9Da67717ba,100000000000000000,0,0,23995111971490098147280,1647214447
26493601,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,2486302890046558951812,10586346466027190,0,1648543211
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8722fb2e32CD4ab69e8682955c14e194723f6470,10000000000000,0,0,2342024927265612186,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,287961229500797255455,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3aacD123667E07E07A7F025739EFecdb457323Cc,10000000000000,0,0,2340269224720892027,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,287745399370407671430,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9E6b5377192aa9ca5DE398e9Ca8667f9D9Dc34c2,10000000000000,0,0,2338515496671171925,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,287529811921052162899,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x33CB744B9b920b47832Ac0b3FC4DDB9cdB7b080D,10000000000000,0,0,2336763740156084563,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,287314466788946307027,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8bd1196DfF6dAd88f1E71A655ba14101Eb93C934,10000000000000,0,0,2335013952220809490,1649926709
27120706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,287099363610987179186,1649926709
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb129bA9188C5Ede2e2C64d387DB0bc7E13227fC2,10000000000000,0,0,2333266129916060647,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,286884502024751821346,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x58AD9f1957D77332d5b34c942284d12588571D11,10000000000000,0,0,2331520270298073937,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,286669881668495714481,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6C5f845203E079614D8fD2Ad8c5957DdC6cC4b3A,10000000000000,0,0,2329776370428594819,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,286455502181151254982,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9c0517d893C9BD49AbBe579AA06e508762481814,10000000000000,0,0,2328034427374865936,1649926711
27120707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,286241363202326235056,1649926711
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD8b5874b497902D9202523EF29FD8e001F329681,10000000000000,0,0,2326294438209614780,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,286027464372302327109,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x049d646428B18d25F3f00944C5f14B9272aa7024,10000000000000,0,0,2324556400011041383,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,285813805332033572089,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x382Bf5866F69F9D4b092905d0Cca4F3810A9317C,10000000000000,0,0,2322820309862806046,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,285600385723144871790,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x879B29D9e426fC37A3C4dA22C4e5E70b6ba7f7c0,10000000000000,0,0,2321086164854017097,1649926713
27120708,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,285387205187930485096,1649926713
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x58AD9f1957D77332d5b34c942284d12588571D11,10000000000000,0,0,2319353962079218676,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,285174263369352528157,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x25D460f9B8E0D1e3bbe78De93f711E81553f3d2A,10000000000000,0,0,2317623698638378567,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,284961559911039478483,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x63C91d083bE5003f094b2b2ac9eA62d70F66176b,10000000000000,0,0,2315895371636876044,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,284749094457284682953,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE82888F2913869cFfbEABC5fABEA4a2d4989841,10000000000000,0,0,2314168978185489760,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,284536866653044869704,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8722fb2e32CD4ab69e8682955c14e194723f6470,10000000000000,0,0,2312444515400385663,1649926715
27120709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,284324876143938663927,1649926715
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x879B29D9e426fC37A3C4dA22C4e5E70b6ba7f7c0,10000000000000,0,0,2310721980403104949,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,284113122576245107517,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x33CB744B9b920b47832Ac0b3FC4DDB9cdB7b080D,10000000000000,0,0,2309001370320552036,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,283901605596902182592,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9E6b5377192aa9ca5DE398e9Ca8667f9D9Dc34c2,10000000000000,0,0,2307282682284982582,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,283690324853505338865,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE82888F2913869cFfbEABC5fABEA4a2d4989841,10000000000000,0,0,2305565913433991524,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,283479279994306024847,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x25D460f9B8E0D1e3bbe78De93f711E81553f3d2A,10000000000000,0,0,2303851060910501153,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,283268470668210222884,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9c0517d893C9BD49AbBe579AA06e508762481814,10000000000000,0,0,2302138121862749221,1649926717
27120710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE898E7Cae1BA8262105862C924620178ca5A8484,1230000000000000,0,0,283057896524776988006,1649926717
