block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
24825733,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd6aaB0F9aE043D3651Ad2d31c0ecCA310a9C0BEE,0,4876118395370,1057482495074319494,0,1644610537
24984373,0x8A8F111b84Ea66025f743a1779c89e203F6E0253,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,6886369371490,1418022462451279276,0,1644959445
25254850,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,20804361637,4163093105536987,0,1645606841
25315580,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,7734295491,1547498322464946,0,1645774562
25400388,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x836FFAB566F4B548593FA35aE5a0859972CA8D71,31467429248277,4967558,0,156334940,1646002617
25496992,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,9845117643,1969693782210279,0,1646229970
25515126,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x9c21e72FC2e3f256A766047DFCe6d1775D4431D9,162422276680996409,7129630090,0,804263992518,1646272325
25524682,0x1883ACFD428158566358bb103f11204f1106b199,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,1300303000646427390,43398620,0,6247092455854,1646293991
25618340,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,1602819713504270080,1161960968,0,7259214685405,1646505681
25618350,0x5C727b35522F6C386Ca7564aee799f32EC8A260D,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,3384542937144349876,63298425,0,13914775832476,1646505701
25734475,0x667127d30D2112966503C0ce34071e23f982F18e,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,704354737927377918,513448031,0,2679320011519,1646762716
25756667,0x667127d30D2112966503C0ce34071e23f982F18e,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,944212148499475948,1744529965,0,3485441734504,1646811533
25784496,0x667127d30D2112966503C0ce34071e23f982F18e,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,742786135949960489,143409785,0,2659956130780,1646872992
25900008,0xd8DDa1fDF4873B37F493E7C88E771610fA7C1d75,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,5036001677445,1381583091797141980,0,1647180697
25900252,0xd8DDa1fDF4873B37F493E7C88E771610fA7C1d75,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,4631558453018,1212222629103221207,0,1647181201
25900277,0xd8DDa1fDF4873B37F493E7C88E771610fA7C1d75,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,3887900286973,977002746602217258,0,1647181251
25900284,0x667127d30D2112966503C0ce34071e23f982F18e,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,1068464992007847135,56333589,0,4219616281719,1647181265
25900518,0xd8DDa1fDF4873B37F493E7C88E771610fA7C1d75,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,4352563582877,1094962949104202525,0,1647182005
25900520,0x667127d30D2112966503C0ce34071e23f982F18e,0xD442D53441E7287FAa6E738E0Fe41A95C2C07AAB,1032410088251891811,91687620,0,4084505428123,1647182009
25905978,0x5C727b35522F6C386Ca7564aee799f32EC8A260D,0x743b625c56bAdfEe783E5eb62a5f27c8010eC5F5,556402383171038451,1771203943,0,2137000932789,1647197105
26018434,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,776489383015,202281413814654315,0,1647469576
26426078,0xE7D4800d36E63159A706C32ad93FcD02FB07a24f,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,4602472281275,1168721195559477346,0,1648392137
26636295,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,11334661380,2815791775523340,0,1648860704
26820465,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,20992156463,5214145435615254,0,1649264177
26827857,0xE7D4800d36E63159A706C32ad93FcD02FB07a24f,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,3981342182089,970689745153598379,0,1649280349
26904259,0xE7D4800d36E63159A706C32ad93FcD02FB07a24f,0x1E67124681b402064CD0ABE8ed1B5c79D2e02f64,0,2005637007083,475616070148091724,0,1649451928
27056325,0xd8DDa1fDF4873B37F493E7C88E771610fA7C1d75,0x9c21e72FC2e3f256A766047DFCe6d1775D4431D9,1019369982510462336,4432758682,0,4228997748139,1649785254
27056328,0xE7D4800d36E63159A706C32ad93FcD02FB07a24f,0x1E67124681b402064CD0ABE8ed1B5c79D2e02f64,0,7788717802651,1836532869065587440,0,1649785260
27064652,0xE7D4800d36E63159A706C32ad93FcD02FB07a24f,0x1E67124681b402064CD0ABE8ed1B5c79D2e02f64,0,5529930303520,1227752111064384968,0,1649802967
27129845,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0x32e228A6086c684F1391C0935cB34C296e0DD9Cb,0,9151269683,1982341991610043,0,1649946624
27220023,0xcA494503c31689fB7322EE0E7eBa19a9760Eb82B,0x1E67124681b402064CD0ABE8ed1B5c79D2e02f64,0,13223903276407,2694134091811790140,0,1650144493
27220032,0xE7D4800d36E63159A706C32ad93FcD02FB07a24f,0x1E67124681b402064CD0ABE8ed1B5c79D2e02f64,0,7113541542751,1337634637832210020,0,1650144515
27333557,0xB0bF380622D9A46B9FB5f2B4eEcC5735F2E5112e,0x743b625c56bAdfEe783E5eb62a5f27c8010eC5F5,242197569189383192,3650417714,0,1311120817692,1650393516
27333557,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x743b625c56bAdfEe783E5eb62a5f27c8010eC5F5,241834465359620892,6937132,0,1295398254116,1650393516
