block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20772707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,0,4621225965431484311856,607394051627338572437465,0,1635581778
20772794,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xe4984fC367ab9a8c9DC6978D5C0D22C6626c6c54,0,1195936708719908749714,72681225119950948111698,0,1635581956
20777167,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xAF00B37bC62Fe78FF0DA2aaf1A61b74a631fA418,65118358612482050366890,0,0,1078116581726252589999,1635591595
20787550,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x0f1611c37E160822F8a128cC1B390b529eF19b5f,55686750819071667583046,0,0,764671275284572319384,1635614201
20806929,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,66215008484939786363437,0,0,766143157957378917622,1635655480
20811245,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,0,627742142048437187918,54798922247212109689311,0,1635665441
20826403,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,77008753501537283709901,0,0,852832761578175246427,1635698843
20840172,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,345457868557571029141293,0,0,2411632545561863500649,1635732167
20840972,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,0,3916801900846921037508,470244317761163367329668,0,1635733947
20890422,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,73342292736487299835046,0,0,932485214755054563319,1635843429
20921298,0xf66f43376792Eb07bDbe7Fcd65F67c9B3d2de998,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,91684209877492111202440,0,0,935873101965975835413,1635911812
20959085,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,74224822419055540937133,0,0,619698619032407041345,1636000613
20987694,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,76294757690537468220504,0,0,539912055292700503051,1636063805
21069941,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x1b29D2Af57e90111AebC69b2f757a7263cb54932,0,727041596590534060532,99516895223190277143067,0,1636244891
21090938,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,64666667302687621301968,0,0,487050634791351333495,1636290719
21263326,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,63052795696358610972896,0,0,415196171707363701345,1636674767
21481788,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x1b29D2Af57e90111AebC69b2f757a7263cb54932,0,611238580911026389449,89685872353872635215389,0,1637163879
21544779,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,62192102053978792162210,0,0,433251449664690844856,1637305638
21621873,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,53866337631931668901728,0,0,333468861402910321521,1637476039
21781481,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,111390518296855688717280,0,0,590868431909731241424,1637837570
21965357,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,92561021300227625548097,0,0,410646906234555102045,1638256776
22002464,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,102507864246087434450417,0,0,389029796492566158248,1638339206
22039422,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,164345674299058348204700,0,0,513788864528498734875,1638425200
22231234,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11a768b4Acf0212E9B0800d1B8142763518A4fC5,31869785199951587499090,0,0,86974895985963100536,1638862217
22245999,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,139755298314115670999788,0,0,342604519726241310456,1638893730
22311678,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xAF00B37bC62Fe78FF0DA2aaf1A61b74a631fA418,90587867023629767475349,0,0,193268296140532148703,1639041004
22475127,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x0f1611c37E160822F8a128cC1B390b529eF19b5f,146184321996725396471838,0,0,273489048861619844338,1639397092
22483872,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,0,769739883219210491423,359742032965508300532364,0,1639420790
22491361,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,159144282683438960178629,0,0,378283033575313570825,1639436665
22492848,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xAF00B37bC62Fe78FF0DA2aaf1A61b74a631fA418,108373133466001106573663,0,0,219941982049162938204,1639439859
22510335,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,0,299574348578431117098,143711276419400819059581,0,1639477912
22540326,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xe4984fC367ab9a8c9DC6978D5C0D22C6626c6c54,0,320716241423058722783,130724834495196486417681,0,1639545308
22541088,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,0,305371952672725102818,106886019434907013090608,0,1639547008
22542696,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x89b92CF14Dd53f1a30ED547690E5f4c2C3e985eF,96933472798498041080859,0,0,277162952584487853344,1639550330
