block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21299532,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFD202157855e504dCC4a946D06C7f8b223d778e9,200000000000000000,0,0,79696434124142583875101219,1636757091
21299532,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,7969643412414258387510,19896082561849,0,1636757091
21299705,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF655E23B8e53402833519B1DE7eCbD4f63D5e6ad,1000000000000000000,0,0,396583392681316398948019572,1636757445
21299776,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaDE41403a1EEe72d805c42F1Eaf5f53a54D0E0d,5000000000000000000,0,0,1936592007036484019245663893,1636757595
21299871,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,1000000000,0,0,379759493687522080,1636757789
21299871,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0,379759493687522080,994009000,0,1636757789
21300328,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x05b5f0f2C0107EE203132903a5DAC30e587E7ad2,600000000000000000,0,0,227331045588739675062877223,1636758859
21301229,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xAda536A089E7b04705AF759A90cBCF11156DE5c0,10000000000000000000,0,0,3652406678082079989567615927,1636760853
21301422,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,9912500000000000000000000000,25582269193554685866,0,1636761251
21302649,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5D2F4214cf833306FCAe3b13d0a47ED3a18AC7d9,1000000000000000000,0,0,419102068696863118137842413,1636763909
21302709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1000000000000000000,0,0,416317377787124355762130634,1636764033
21303090,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCC6600b80143b5061A6Ef8C79Ec51c4CD183422b,250000000000000000,0,0,103647100729680223722324895,1636764921
21305620,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,500000000000000000,0,0,206779241413000034507810271,1636770551
21336687,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3fFdEa61a00B32D94fE78AcEf5DfF6cd0966ccBe,180000000000000000,0,0,74272759670238907567441024,1636844831
21339248,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x123D99Eecf4e0412bF43A48DcA1C7b9870D2927b,121296002411580416,0,0,50000000000000000000000000,1636850566
21340953,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3df65EAF60F2470e4A581f1b065769eFF1cB8baE,10000000000000000000,0,0,3988640143392133469729337626,1636854340
21341286,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,50000000000000000000000000,128683202352952866,0,1636855154
21377358,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB6338e154C4A6FE0d0A0134B7D7D063F1d6A0722,1000000000000000000,0,0,385258512186112304133200907,1636933642
21386669,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5E6Db80c7F8d5dA245D4249DCbEe16E6596521d4,2000000000000000000,0,0,763820036602984137608269873,1636952920
21444367,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,0,419102068696863118137842413,1093716561449014498,0,1637080908
21701300,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5E6Db80c7F8d5dA245D4249DCbEe16E6596521d4,1000000000000000000,0,0,381005025800997177605538450,1637656579
21701326,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5E6Db80c7F8d5dA245D4249DCbEe16E6596521d4,2000000000000000000,0,0,755461265200411752779972991,1637656635
22203278,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA17F7De14EE47eFb1c822a7610781c3679bCDf92,10000000000000000,0,0,3755514169823075155732068,1638798989
22948555,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x632294808f70EAe6D669b6A1e2969B7289C38553,0,79688464480730169616713709,210794105750193519,0,1640442665
23554001,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,415073406519600000000000000,1093732590395484472,0,1641811519
24354560,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,10000000000000000,0,0,3784434878614092186863228,1643572028
24354562,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0,3784434878614092186863228,9940091764973371,0,1643572040
