block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15236471,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x75B58E07E927ddF3e15B990Ef91315ED3A4B4c6d,1000000000000000,0,0,32205830,1622626690
15236471,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,32205829,994029424670430,0,1622626690
15277880,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0x8130F7f7095171D79CBDEA2A5434D8D5f5EE33eD,39000000000000,0,0,1260150,1622712705
15277880,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0x63AB44252de1467524b352e689ea2D0c7D7a67BC,41000000000000,0,0,1324408,1622712705
15277880,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0xFc4c03205eF43a264f864Db3378bDc0e28D6D484,41662249680034,0,0,1345418,1622712705
15277880,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0xFc4c03205eF43a264f864Db3378bDc0e28D6D484,47927552395452,0,0,1547269,1622712705
15277881,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0xFc4c03205eF43a264f864Db3378bDc0e28D6D484,42000000000000,0,0,1355487,1622712707
15277881,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0xFc4c03205eF43a264f864Db3378bDc0e28D6D484,42961966570487,0,0,1386128,1622712707
15365753,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA2C85152AC8a19034cB93E2A0b4B847421c7F919,19742680464559057,0,0,596439009,1622901959
15490878,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xEb12fbbC9a89597F8d3b738c39eB653ebF0EF4BB,15994135547933929,0,0,430287312,1623183829
15599471,0x10FD6824e54756F609bF08EF223E31c7e4d94E47,0x486Ba4052f5c6B2d7c82D4cdc84D806726E405BF,19073486328125000,0,0,461060388,1623442643
15601562,0xEA4683327b308970Ce01943AcC3244DA616eeC8f,0xEA4683327b308970Ce01943AcC3244DA616eeC8f,0,353215128,14718553331718806,0,1623447085
15619828,0x42C8C9df9b563ed81589C31B93938ca51D9C7ed6,0x6c1Dc37dfDF7DC09CD9B17F93c19354E2E1eD38E,16021728515625000,0,0,380848998,1623487813
15621478,0xF4C288FEaaEdE002FcF548ff5070182Db982707D,0xF4C288FEaaEdE002FcF548ff5070182Db982707D,0,477850573,19756119166437631,0,1623491538
15623409,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,0,828582001,29390933948008079,0,1623495954
15623409,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0xBDdAC4b334d6dAA46d026f4CC171E8a538193BBa,12786865234375000,0,0,377665006,1623495954
15625062,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,17425205998252993,0,0,479284029,1623499364
15625190,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0,440000000,15941224602966626,0,1623499628
15625213,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0,440000000,15122788153032002,0,1623499674
15625311,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,22863576496223393,0,0,652796379,1623499878
15625697,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0,880000000,30243239452586335,0,1623500674
15625703,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0xFc4c03205eF43a264f864Db3378bDc0e28D6D484,17852783203125000,0,0,527416240,1623500686
15625797,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,50662993978616858,0,0,1406258877,1623500882
15625826,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0,1760000000,62554518704415126,0,1623500940
