block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14507500,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xF2055643108305d6A56278f5f0191Cd0286c7edc,0,76376785192475654,85797927753596285,0,1621047765
14629387,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,30890136923602006,34579155016946390,0,1621311080
14838330,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x7f821d684158E133EB520f1af194ffa1900Cd539,32406829586510300,0,0,28778109890547551,1621774325
14862196,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,30068819598097348,33656208980935609,0,1621832880
15296360,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,7143320102212233,7985864080508203,0,1622751551
15422717,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE1c3865F25d5A77b2f48803c10cf63Ed765B1a7,1000000000000000000,0,0,864279077415825580,1623031270
15422727,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE1c3865F25d5A77b2f48803c10cf63Ed765B1a7,1000000000000000000,0,0,816830413555764653,1623031294
15422745,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE1c3865F25d5A77b2f48803c10cf63Ed765B1a7,1000000000000000000,0,0,773186486237622700,1623031330
15422785,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE1c3865F25d5A77b2f48803c10cf63Ed765B1a7,1000000000000000000,0,0,732951012373340634,1623031414
15422815,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE1c3865F25d5A77b2f48803c10cf63Ed765B1a7,1000000000000000000,0,0,695777999800907374,1623031474
15642235,0x20027bd4a6Fa91aC183Ff62A6230F4e5bf459897,0x20027bd4a6Fa91aC183Ff62A6230F4e5bf459897,0,15782395995892280,23121110143114601,0,1623535689
15975643,0x45858620fDD941E5E0A6A41A90678023b9B5B902,0x45858620fDD941E5E0A6A41A90678023b9B5B902,100000000000000,0,0,67890547155075,1624272787
15975643,0x45858620fDD941E5E0A6A41A90678023b9B5B902,0x45858620fDD941E5E0A6A41A90678023b9B5B902,0,67890547155075,99400901513160,0,1624272787
16519805,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x7f821d684158E133EB520f1af194ffa1900Cd539,10000000000000000,0,0,6787352350293623,1625481342
16739846,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,106467635386596321321,31431801112767074187,0,1625999121
16739846,0xbA704f21Dd900d675941D0a7E2256F029135cBB0,0x7f821d684158E133EB520f1af194ffa1900Cd539,38909912109375000,0,0,648442181637314943,1625999121
17499173,0xa153e789D45fc5be2986917a33E298437f52899C,0x7f821d684158E133EB520f1af194ffa1900Cd539,4974365234375000,0,0,82443003363096379,1627827461
17693190,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,13298082723680558918,0,0,82742935515035125555,1628281640
17693191,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x7f821d684158E133EB520f1af194ffa1900Cd539,80942823749272112,0,0,188129788820160879,1628281642
17693288,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,5947500000000000000,0,0,10778338993193198693,1628281840
17693290,0xe17f757710B7FE598C9d5850Ae3ccA6eB69e4ccc,0xe17f757710B7FE598C9d5850Ae3ccA6eB69e4ccc,0,72437546313889751,50702108988236059,0,1628281844
17874973,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,18167535203540968,12686635061289018,0,1628704167
17969493,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,5534106048845799451,0,0,6553720159240633668,1628934703
17969497,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,48199288562593245,48603589787830652,0,1628934711
17969524,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,2667168730193870682,0,0,2435181009076510323,1628934765
17969525,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,15352192773298321,18066944880119605,0,1628934767
18025527,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,320035948241398878,0,0,268038705272164026,1629072679
18025594,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,789675592887861035,0,0,641300004948853410,1629072817
18201866,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,9307345292492530,11640405009235984,0,1629480429
18221474,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,7863860145598519,9829286441894601,0,1629525592
18424067,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x7f821d684158E133EB520f1af194ffa1900Cd539,13858807452260469,0,0,11020031523974645,1630003040
18563594,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xfAF5dd4c35eD3662945EA9dd9779b47be12e02Da,2000000000000000000,0,0,1507327831247555928,1630350760
18564176,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,1494138712724139814,1972128552030600776,0,1630352216
18597171,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x7f821d684158E133EB520f1af194ffa1900Cd539,14274265959040378,0,0,11327856452763172,1630432355
19068653,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,6818347615586967894,0,0,4560007838527039296,1631556390
19068654,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,27171456228804275,47871775335076710,0,1631556392
19501360,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,22000000000000000000,0,0,8247217950116812973,1632582952
19501361,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,57275814449784700,228252444675700086,0,1632582954
20181767,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x7f821d684158E133EB520f1af194ffa1900Cd539,20050500084189962,0,0,5017223642263555,1634148358
20260264,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,7499232709477151,29785432394748953,0,1634341656
20457339,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x7f821d684158E133EB520f1af194ffa1900Cd539,19123904687821520,0,0,4786873385863739,1634833464
20625379,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,6821828899887786,27087105714583724,0,1635237011
20637454,0xbd0EFCc70FA475fd072a645f40d6237e7cC22fb8,0xbd0EFCc70FA475fd072a645f40d6237e7cC22fb8,177928251256793147,0,0,44439787297081288,1635265745
20637454,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x261e24907f66fEa18594bdd144AD81908fec005a,23200000000000000000,0,0,4265835591312822900,1635265745
20637454,0xbd0EFCc70FA475fd072a645f40d6237e7cC22fb8,0xbd0EFCc70FA475fd072a645f40d6237e7cC22fb8,0,44439787297081288,324500913484066657,0,1635265745
20637454,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,29867499850341980,216756139343717181,0,1635265745
20637509,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,4200000000000000000,22589618069998186048,0,1635265957
20637509,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x7f821d684158E133EB520f1af194ffa1900Cd539,107107776214757664,0,0,26620587567706099,1635265957
20789501,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,262716818776008103088,0,0,13024349777503243044,1635618483
20789501,0xA2D53963C7618Af9f9F8594B3236F22382Ae5be5,0xA2D53963C7618Af9f9F8594B3236F22382Ae5be5,0,83764528181952857,8215441225699961067,0,1635618483
20985785,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,65835591312822900,6173385925238334324,0,1636059736
