block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20971456,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4956250000000000000,0,0,9979803,1636028733
20971456,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,259679,4606864680389768340,0,1636028733
20971458,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0,552646,238326616614803274,0,1636028737
20972026,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,14000000000000000000,0,0,825363,1636029905
20972026,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,151786,13483208443640660761,0,1636029905
20976146,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x61c4D9F125E6Ee5A384aBC518A56582Adb074978,10000000000000,0,0,2,1636038880
20976195,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x61c4D9F125E6Ee5A384aBC518A56582Adb074978,50000000000000000,0,0,11521,1636038982
20976342,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,11523,49728863470512847,0,1636039312
21641434,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,0,9979803,628097790657114032,0,1637519665
21641435,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0x9C0c52AfeD562d34be5e133353aC30ec97Ba7190,2430004449247232,0,0,1971954,1637519669
