block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20305270,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,1000000000000000000,0,0,148073,1634457227
20317650,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,70232367,83326133428926542094,0,1634489322
20335627,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,100000000000000000000,0,0,72272511,1634533281
20414888,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xbCc2689ce8a8ABb5724cf1852b7ecD5C76Cf806c,0,147787,1351003883499709257,0,1634732651
20415594,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x77ac6a6d7D81d5992b20F567904229c2556fAf7b,0,73943,674213661978636657,0,1634734364
20419244,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc334ceC60390286BF977133595F28aeb156Fc00e,0,151645,1334649664174148422,0,1634742643
20419279,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5CF899AdE3897872554ee108D3698378BF5a04bB,0,1058369,7275641103697126578,0,1634742755
20419614,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1FCB65C1588d8129336432B86d88738254617a8F,0,1501861,6562006027021922472,0,1634743445
20419717,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x13968aac2E4942B700Fa5f063450565b35f23F3A,0,901253,2743758289688364479,0,1634743659
20420327,0x484F20426f84836648D75f81fd3213694c38c4BF,0xE16498aF4b6132a82772962f9b97d0b8Fe40f4FF,340270625458281409,0,0,123414,1634745252
20662815,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,10000000000000000000,0,0,2448761,1635326875
20669036,0xb36f9Fb7d3C07D06cf737bD35eA012CD93d55206,0x32340eb37Cd354b24fD7a1Ed654Ae2DFd22805e7,0,59925,354155115484119325,0,1635341386
20698900,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,10000000000000000000,0,0,1586893,1635415340
20698931,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,1000000000000000000,0,0,148472,1635415402
20700672,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,1000000000000000000,0,0,146719,1635419380
20700747,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,1000000000000000000,0,0,144969,1635419534
20744903,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,10000000000000000000,0,0,1313354,1635521929
20773944,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8aDaCE41Ec579423F149d7402f282301fCFaFF36,0,1927797,14018711055354995644,0,1635584671
20935608,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x24902fc7A499784A48Aa8737A3162bF1171b716F,0,197658,1243729861782482894,0,1635944844
20935748,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x24902fc7A499784A48Aa8737A3162bF1171b716F,0,197390,1214455214206375679,0,1635945146
20935780,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x24902fc7A499784A48Aa8737A3162bF1171b716F,600000000000000000,0,0,97487,1635945274
21015076,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xbCc2689ce8a8ABb5724cf1852b7ecD5C76Cf806c,0,1900546,10568491264346391703,0,1636123147
21017655,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x39480bd4566496ea4F283AF164f8c3eEC563d70B,0,374375,1849682157613838732,0,1636128850
21041447,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x143f8cFB7e91b7836D90A06Fe0e2cF8728D61FB0,30000000000000000000,0,0,4809404,1636181761
21046431,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x680E45469b5513C140d6C0015E865829d05E5Bd2,0,940559,7068075683463032257,0,1636192837
21046592,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x13968aac2E4942B700Fa5f063450565b35f23F3A,0,376102,2627598635464459726,0,1636193171
