block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
22155554,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,61945924621,3776909,0,1638686953
22155558,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,343516809565,986946,0,1638686961
22155604,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDF269b80A99e19810Ba6Ccd560B4336EEC52Ebf0,20000,0,0,33128558563,1638687057
22175400,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,352764,0,0,227006676465,1638733840
22175934,0x484F20426f84836648D75f81fd3213694c38c4BF,0x484F20426f84836648D75f81fd3213694c38c4BF,0,45512919786,131132,0,1638734944
22203926,0xFf3b32a20A60837fBD06f9f625356b3BB6b301Dc,0x1E8126D59Adb8b8b683Be83333Ced47ADfed4a74,240000,0,0,70356882988,1638800325
22204006,0x484F20426f84836648D75f81fd3213694c38c4BF,0x484F20426f84836648D75f81fd3213694c38c4BF,0,54425355554,199994,0,1638800489
22224328,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,10,0,0,3752931,1638846715
22226000,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,10297183568698,508145,0,1638850549
22226003,0x484F20426f84836648D75f81fd3213694c38c4BF,0x7B6146Aa0723dF09c0e337C980417fDb5a1f8fA2,7756,0,0,4667957028138,1638850555
22227571,0x1FA97AD2f5F12D3153cf15053C2E35570c85dDAa,0x1549E0E8127D380080aab448b82d280433CE4030,31538,0,0,3749032148864,1638853996
22333439,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x23BfFC2268936E376CF366e6851022c5e6CFE970,1509,0,0,61886015611,1639088226
22430161,0xCa157F76223284884626A6b39dfFC7DB1132aeFa,0x853Ee4b2A13f8a742d64C8F088bE7bA2131f670d,0,375023764048,7902,0,1639299524
22461537,0xCa157F76223284884626A6b39dfFC7DB1132aeFa,0x1549E0E8127D380080aab448b82d280433CE4030,2569,0,0,135600436563,1639367389
22463058,0xCa157F76223284884626A6b39dfFC7DB1132aeFa,0x1549E0E8127D380080aab448b82d280433CE4030,1168,0,0,56677725249,1639370783
22490025,0xCa157F76223284884626A6b39dfFC7DB1132aeFa,0x853Ee4b2A13f8a742d64C8F088bE7bA2131f670d,0,2303051914860,47952,0,1639433909
22516727,0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,0,8740283020648,174220,0,1639492497
22537074,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,5449516542079,102788,0,1639538344
22557192,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,10890000000000,193208,0,1639581669
22560529,0xCa157F76223284884626A6b39dfFC7DB1132aeFa,0x1549E0E8127D380080aab448b82d280433CE4030,24237,0,0,1406732209542,1639589989
22567201,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1549E0E8127D380080aab448b82d280433CE4030,180444,0,0,10036571099152,1639605582
22612690,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,15697107159923,289140,0,1639704039
22613614,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,10414874300790,189536,0,1639705946
22623298,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11a768b4Acf0212E9B0800d1B8142763518A4fC5,0,63721139321064,1121243,0,1639726638
22623300,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x3f9650f4A2339b87aCA35461A47F030c9cAe7d38,252132,0,0,14565646314407,1639726642
