block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
13931968,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,990,99699,0,1619818224
13931968,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,9900,996999,0,1619818224
13931972,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,4925,0,0,48,1619818232
13931978,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,148500,14954999,0,1619818244
13932039,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,990,99699,0,1619818370
13932042,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,4925,0,0,48,1619818376
13932050,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,148500,14954999,0,1619818392
13932205,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,990,99699,0,1619818710
13932208,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,4925,0,0,48,1619818716
13932217,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,247500000,24924993771,0,1619818734
13932221,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,0,1980000,199399900,0,1619818742
13932228,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D902BB4aff8dbCc218Ad0322915Cb93Cd2e27C9,1970000,0,0,19444,1619818760
