block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17268682,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,17337769371854185411,0,0,139080640077588299191,1627251527
17269276,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,2615993515560777924,0,0,10506734194409478261,1627252752
17270740,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,2629650168796511559,0,0,9262269746716311582,1627256284
17272795,0x4fB520Ee0A14d8f0C39c5168F3098438CB3dce56,0x7719758dF93eEDD66C8722A702F4D517D71A881c,1208115987456098116,0,0,3882680043096421013,1627260795
17276880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,1175802126418396899,370815665605700226,0,1627270996
17277122,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,1175753028467568582,364564141059965255,0,1627271659
17277196,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,1181974200259072597,360365250492972512,0,1627271811
17278640,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,1189571256355795011,356632890649199634,0,1627275616
17279056,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,1215067316279658910,358168969597007748,0,1627276638
17280600,0x6368FdCC35bE2adbF17C2A14ecEc8CF734355Ec9,0x962cE6D7d552f46e770D94d8dBEe100670D878F3,0,14641049348149677140,3883334349441121520,0,1627280716
17303710,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,313796380486117752,0,0,1285668888750199447,1627339081
17303945,0x3ebe1977e725d8525b428a3C98D1bfDF21eb8731,0x962cE6D7d552f46e770D94d8dBEe100670D878F3,0,25567039439887491675,5378260382684256094,0,1627339823
17305629,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,231385270205877389,0,0,1263093138459082641,1627344703
17312191,0xc1608327B8F0d389C1024C63246c1c2bB27C529c,0x7719758dF93eEDD66C8722A702F4D517D71A881c,1266744009596256673,0,0,6615667424316264975,1627363385
17313727,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,1988806044446718505,0,0,9462326096849414159,1627367323
17346693,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,269857517902373227,0,0,1205127894490928479,1627443931
17353026,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,288803484288187797,0,0,1270334058568410645,1627458335
17355554,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,287104301279985024,0,0,1243424640271715893,1627463942
17358753,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,303030914118390209,0,0,1291872073251888126,1627472981
17359400,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,302871207218111980,0,0,1270618546710732510,1627474924
17360069,0x3ebe1977e725d8525b428a3C98D1bfDF21eb8731,0x962cE6D7d552f46e770D94d8dBEe100670D878F3,0,27136500195962486255,5536350493952483660,0,1627476891
17360442,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,1038843309372353443,0,0,5744488253822872139,1627478058
17365571,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,231602172901985363,0,0,1232443253075266517,1627493455
17376037,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,239152920189077638,0,0,1255001231350372822,1627522806
17376055,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,237872768492618615,0,0,1230889171981587722,1627522842
17383268,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,250667755869560019,0,0,1278722541617553111,1627541928
17384365,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,2146241061642905683,0,0,10232936457853667946,1627544789
17385854,0x5E26A8daC4fCb0E49f9De18693a9290D02505E2f,0x7719758dF93eEDD66C8722A702F4D517D71A881c,2233000297818324910,0,0,9446968796753749313,1627548393
17427961,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,319948883859400476,0,0,1265307060866493796,1627657289
17427961,0xCDAb30C2110DBd4C94CF50C0c22Ce08DcD9452b0,0x7105f0e4A000FaE92B1299734b18e7d375968371,1172142907518138828,0,0,4464275723200052120,1627657289
17444926,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,372470909736528909,0,0,1364778935055557418,1627699469
17444937,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,369986677413710010,0,0,1331191162686503603,1627699499
17445467,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,367527228023182561,0,0,1298828591344829466,1627700975
17460433,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,365092232927274479,0,0,1267632337249823754,1627737642
17460433,0xCDAb30C2110DBd4C94CF50C0c22Ce08DcD9452b0,0x7719758dF93eEDD66C8722A702F4D517D71A881c,791917769443865617,0,0,2675029157650513127,1627737642
17461459,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,5804563813122994073,1672107995721599792,0,1627740037
17502583,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,4254484402237820573,0,0,13846524160468776868,1627834759
17502709,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7719758dF93eEDD66C8722A702F4D517D71A881c,456915342252772872,0,0,1333497813096469868,1627835019
17512537,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4637CE1FcCF0f8F9Aa50Fee1265DC5193665a76C,0,1276061470361264066,434828226087001445,0,1627856059
17603112,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x7719758dF93eEDD66C8722A702F4D517D71A881c,1881102004113550295,0,0,5319416082513598497,1628060467
