block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15772200,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,6278563267637818,196935092623625086,0,1623824174
15863752,0x9f1920B6DbF08C115f67Acd90236448965607E17,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,170145572590726175,0,0,5437336998258860,1624024216
16063231,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,5159436421530511,160951248987611403,0,1624468431
16267870,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,53329085646857816,0,0,1756610740660397,1624927074
16364988,0x723A415fB8B3Dcd0Da052c6DFDaB62693B0962B1,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,36760549376941172,0,0,1177285525794956,1625143665
16373467,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,80539912251791734,0,0,2488563868759001,1625162679
16412542,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,1827332469032347,59172547865971602,0,1625247847
16423053,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2301826843422242,71602905300347799,0,1625269918
16424385,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,81412719087846063,0,0,2594080121396106,1625272696
16424877,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2251878575796718,70489806811356496,0,1625273708
16425552,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2919927140051170,87002493901021092,0,1625275102
16438648,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,55170986443339437,0,0,1859229401496709,1625303652
16443525,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,85920635100992097,0,0,2770383037040499,1625314370
16448809,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,1793025954601864,55800255875799382,0,1625325735
16452754,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,1792980937760562,53918185976457577,0,1625335273
16455347,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,1792951916599468,52130258361818427,0,1625341259
16474199,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,67017937372359638,0,0,2280666929945990,1625383524
16491127,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2274468271672717,66447604591422165,0,1625419479
16505156,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x8e77380906692991888978626CF703A4635730bE,0,2186488892922883,61295529073549021,0,1625450208
16505158,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2249351385496249,60574292488813996,0,1625450212
16505169,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,76748432412524028,0,0,2818261089631069,1625450234
16510636,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2244422325806232,61075030488123380,0,1625461766
16524605,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2236237558325502,58466653494990622,0,1625491499
16533904,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,44910557110082142,0,0,1715399843538590,1625511863
16542866,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,60821013907903160,0,0,2242448458624370,1625531761
16546991,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,45695710413337997,0,0,1626696816696465,1625541131
16549804,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,29207708423190097,0,0,1014774611084624,1625547484
16555358,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,73298888133339948,0,0,2464939668697615,1625559836
16558276,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x336819AeB4202A70AdAff7F0DA9780A8e2Cdd5F4,0,988000490618287,29613331109135899,0,1625566368
16571097,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,28669610569525614,0,0,951118089613631,1625594054
16576558,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,47182541748175187,0,0,1528644787024482,1625606596
16594964,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,48864231647754300,0,0,1536885097837876,1625646941
16601506,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,1502632931231214,47508885795431570,0,1625660759
16719532,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2055080209507109,62790088097294842,0,1625951156
16731540,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,3055574935560299,88974787532233784,0,1625980028
16738658,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xEfc807a269402A812AC70C47de3E7aDB1b8Ca641,0,30105212,851974518,0,1625996413
16742655,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2411711120055175,66773415788950114,0,1626005813
16748558,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,60138009844160082,0,0,2163965088458682,1626019334
16853822,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2813392536586208,77276160714044115,0,1626274131
16854021,0x95A459D374DaBFFbc5E17e0F8F1A14C77AC9A5fb,0xF7135272a5584Eb116f5a77425118a8B4A2ddfDb,119179981766385820,0,0,4255857996162466,1626274545
16857664,0xaa2BD5869229a970D097464a4b80b1689e513c05,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,3070316951283578,86399142147393505,0,1626283354
16866657,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,108307278637748938,0,0,3799821640074846,1626306071
16866663,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,3062160191040590,87357914380090567,0,1626306083
16867119,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x8e77380906692991888978626CF703A4635730bE,0,1513929503537105,41415611385839967,0,1626307039
16867120,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,3111106287369781,81674701237240518,0,1626307041
16867122,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,88887102645255993,0,0,3358084091654189,1626307045
16888384,0x88b20F1462b1Ced77e8C867bA8a2E6060fD0D5Cb,0x328767469fF1d88F62CA26B18BC7D8c4dE6E86a3,165570704530755899,0,0,5756309880088340,1626355450
16888400,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2645436735141430,77833428026568620,0,1626355482
16929166,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x8e77380906692991888978626CF703A4635730bE,0,1442992911033786,40870169945217522,0,1626452576
16980527,0xf0B90D101B25a616d607Dc9E6ecB653E4046015C,0xF7135272a5584Eb116f5a77425118a8B4A2ddfDb,14058646640333865,0,0,497712234677317,1626572319
17014084,0xd3e74B8b3adB18ad64172271a1814D5F3Fef297A,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,14680480940669357,0,0,514908349678905,1626651948
17014209,0xd3e74B8b3adB18ad64172271a1814D5F3Fef297A,0xc45092e7e73951c6668f6C46AcFCa9F2B1c69aEf,14680480940669357,0,0,510054178378935,1626652206
17026574,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,61945903726541463,0,0,2100357728139229,1626681614
17116152,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x8e77380906692991888978626CF703A4635730bE,0,1788203030476166,52581414548332282,0,1626887525
17146086,0x6417E6ca4E802EDCeAb32f917bE2f85edA97CF16,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,58275862876948984,0,0,1966663886318376,1626960416
17154875,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,65170430641380287,0,0,2115738179839433,1626983028
17184942,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,68677772651798564,0,0,2139612899733547,1627056339
17208109,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xb5E1a07c9b6aB3BEe8d9Bf4066D324c5da89C07F,72785449382923784,0,0,2172935539641256,1627107309
17215638,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,2363070001474543,78543240425667177,0,1627125030
21137558,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1cedA73C034218255F50eF8a2c282E6B4c301d60,0,5894731527892,161771675833236,0,1636392898
