block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23045295,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x3C8b87d7052e264fA6BC9AB157403c66Cc92b56A,200000000000000000,0,0,19295217267966597,1640656449
23045296,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x1f4AFB90880826905f6DE20dd6090b1640cB2261,250000000000000000,0,0,24085417938967312,1640656453
23045300,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,116361517165201104,1197035750630286755,0,1640656469
23056950,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,10961330355773082355,109575416163410055674,0,1640681803
23056954,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x6b0Ce31eAD9b14c2281D80A5DDE903AB0855313A,0,1377825400782614639,13391895073803967866,0,1640681811
23056957,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,441326606934341211,4272016363296221087,0,1640681817
23066900,0x095A4D1b1FA8CfD4f802bDC31222B4970a815685,0x941eb28e750C441AEF465a89E43DDfec2561830b,17587249755859374080,0,0,1786806039123245629,1640702753
23092139,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,117996125078894857,1102206184775841644,0,1640757608
23139533,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,452243174266651631,3843425249887862853,0,1640863337
23222635,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x941eb28e750C441AEF465a89E43DDfec2561830b,402293800807219043,0,0,45003120926378280,1641042152
23453261,0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,0,18905340646303362177,153981638125968858916,0,1641587673
23523344,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD3298fCE129d807640b391931435362F99fEafB1,1000000000,0,0,144471929,1641743896
23567457,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1000000000,0,0,144471925,1641843521
23584002,0x34DE7FA06Ad0B7C9de0514FC0CaDE2476db2C6E0,0x34DE7FA06Ad0B7C9de0514FC0CaDE2476db2C6E0,0,2596943823976725226,17506739355370982180,0,1641881351
23588496,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x42FC1B54266F0C17B18f0342b53202B329a0c010,0,369251149522325897,2431802421247999657,0,1641891387
23590214,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,340072975797949701,2227331997786040920,0,1641895080
23590321,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,317945841217396977,2071817336046490175,0,1641895298
23595513,0xa153e789D45fc5be2986917a33E298437f52899C,0xa153e789D45fc5be2986917a33E298437f52899C,0,3017833896172253611,19575080665568780009,0,1641907032
23684900,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,15683157791402946,0,0,1983324673749858,1642108344
23725556,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,1163615679829915554,10604534369168712989,0,1642200544
23826478,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,747351058727708857,6256787224801521173,0,1642423435
23946624,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,93013975878940899,681151146739841020,0,1642682937
23983976,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,43722868791616982,278879578455589070,0,1642762458
24010777,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x5189DF751B1c6b630324B114eeD6083Ca238BC50,0,35636458164223833,210843275670606419,0,1642822347
24039192,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x941eb28e750C441AEF465a89E43DDfec2561830b,414458950195579662,0,0,67534287639894724,1642884210
24219804,0x170bCf98B0192511c1128Fade79660689332aC29,0x170bCf98B0192511c1128Fade79660689332aC29,0,4899703630692538,22543947333056162,0,1643274023
24348302,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,6095610578142967,0,0,1676024510429751,1643558118
24622366,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0xADCF328aaE6a8E32E532496dD7E4cc45456CC00d,0,1206315343979004,4489425123921385,0,1644163020
24680107,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,2000000000000000,6137568069035088,0,1644290189
24680118,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,2246665944620169,5467896723835001,0,1644290233
24680755,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x72AAF095BFCe0Cb03aA5dAA01036B40be72f4F17,2000000000000000,0,0,878096466492313,1644291565
24880660,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xe5AC7Ad148E5c29650b40b6EBA4a8a612e4C8fCA,0,3911133595939982,7718294403685666,0,1644729462
26272230,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x023daE0fC6722a75972b277D5EC54885177ad68B,47374428587326,0,0,28584799555257,1648050450
26471227,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E7d6490526C7d7e2FDEa5c6Ec4b0d1b9F8b25B7,0,99582760410069,163561831199592,0,1648494359
