block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20217220,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,1000000000000000000,499248873309964,0,1634233597
20217325,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,1000000000000000000,166582873977299,0,1634233811
20218131,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,10000000000000000,0,0,2902708813215051530,1634235656
20218177,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,10000000000000000,0,0,47773103540763871,1634235840
20218226,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,10000000000000000,0,0,16291332790508987,1634235938
20218254,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,10000000000000000,0,0,8219266551936576,1634235998
20218283,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,10000000000000000,0,0,4956341058017452,1634236056
20218306,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,100000000000000000,0,0,13324291158476806,1634236112
20218404,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,100000000000000,2195591166062932,0,1634236434
20218481,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb350c78Bf072fbb18dCf6E37EAB255e0959dd461,10000000000000000,0,0,430487153550112,1634236592
20218524,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb350c78Bf072fbb18dCf6E37EAB255e0959dd461,10000000000000000,0,0,379348606038853,1634236696
20218740,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,100000000000000,0,0,3565755059883,1634237246
20218871,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,1000000000000000,0,0,35426415197641,1634237626
20218941,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,1000000000000000000,168229868809707010,0,1634237895
20219112,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,1000000000000000,0,0,984608960542316009,1634238381
20219385,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,1000000000000000,0,0,965570239644300913,1634239324
20219832,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,10000000000000000,0,0,8720400397884059913,1634240502
20220111,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70332a9E50fF2114566d11DBdE269CC77ba810dA,572490000000000,0,0,452881543336303979,1634241350
20220734,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb350c78Bf072fbb18dCf6E37EAB255e0959dd461,1000000000000000,0,0,780262782281671918,1634242986
20228478,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,100000000000000000000000,1276202112654905276,0,1634260915
20786445,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5Bb7d45C85a1c0F4A3e775C19257364315B6e372,1000000000000000,0,0,25318913627798552234,1635611598
21394219,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,10000000000000000000,995059898878300,0,1636968832
