block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23273620,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0,192532612632431683,4831264915504122802238,0,1641154103
23292091,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100000000000000000000000,0,0,952163897544085114,1641195561
23292122,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0,150163777898209279,48039700948057053455930,0,1641195635
23292143,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,1000000000000000000,55420429736036882814738,0,1641195677
23292946,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,10355763381649390719658,0,0,448184394832360607,1641197336
23292980,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,9331776989588884408759,0,0,211936020106879787,1641197404
23293037,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,100000000000000000000000,0,0,516116753573796513,1641197522
23293554,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0,83562312120303062,39582216172128240337968,0,1641198947
23293586,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,400000000000000000000000,0,0,237279905107562389,1641199041
23293839,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0,33784994687381929,179319686906082474548774,0,1641199819
23293872,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,700000000000000000,284083453433243759180419,0,1641199885
23293878,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,25131595336782777258738,0,0,313607312241486440,1641199897
23293885,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,34363344548223291437124,0,0,168408574232851836,1641199911
23294322,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,36641878228183512574695,0,0,84876798513083970,1641200941
23294442,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,500000000000000000000000,0,0,179123677887267704,1641201189
23294442,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0xd8eBb094c1C2dC8F7ef9d817f1bb5B5e784EAD4E,0,21081480672808295,192274900754228811611681,0,1641201189
25687410,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,74645736160048117339665,0,0,10000000000000000,1646659640
26532966,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,8158585241478982,62234304744928147668992,0,1648631077
26533002,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,10750038955612359,62234304744928147668992,0,1648631203
26533241,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,8718019726276632,39195524870831767289856,0,1648631693
26533425,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,8161275695323495,30195589167076062789632,0,1648632073
26774004,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,10947494482548032,33223967562951081066496,0,1649163888
26775493,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,12382574175089138,30193007477439145705472,0,1649166977
26775767,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,13897011514482081,27170606056191679266816,0,1649167541
26776102,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,15536630747361412,24342006572022413393920,0,1649168231
26782849,0xe1Bc9A59Ac13dCD2c5bD2794dE5fed3D83604Cac,0x7A354892e80bBD7Afc8Ccab5c9f9de48c255f223,0,16768951517417289,21127363176227659579392,0,1649182319
26784385,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6Ace958EE184740e24Ea45b50B3E4499393bC695,0,10000000000000000,10670927293907425726407,0,1649185487
