block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17210180,0xd020ECd2ab15756ddcaf565A72E392391C03DDa0,0x6Fd8aAe9f85A7Db14c45453daAB81aa3085E4bA3,158241247007342189427,0,0,107959190215644811,1627111967
17210803,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,19194113041305856,29402315320826611215,0,1627113505
17211092,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,18654991018643793,27960538698205291906,0,1627114145
17212233,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,19655703698497906435,0,0,13077431359929125,1627116841
17214346,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,12686466159459524809,0,0,8337354222730919,1627121982
17214578,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,12686726874357183172,0,0,8257906591347137,1627122458
17214635,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,36851703056920356020,0,0,23546325706322905,1627122576
17215403,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,38516633058695748537,0,0,23931333317118445,1627124416
17215667,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6Fd8aAe9f85A7Db14c45453daAB81aa3085E4bA3,15474514140728358665,0,0,9425671520824544,1627125088
17215671,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,12940666108699497177,0,0,7801147542445492,1627125096
17216049,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,25304984660823129698,0,0,15045556355509570,1627125989
17216635,0x7fa9524BeA2C7Be6Db01Fe0554687b3880e2055b,0x7fa9524BeA2C7Be6Db01Fe0554687b3880e2055b,152670707007274335994,0,0,85281848986734743,1627127389
17216830,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,74831675589185842,134051494663611034667,0,1627127791
17218760,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6Fd8aAe9f85A7Db14c45453daAB81aa3085E4bA3,16698427565559039016,0,0,9653163128935833,1627132161
17218919,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,38050141147411204423,0,0,21575467075722999,1627132487
17219011,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,26947298672573348046,0,0,14935724369715498,1627132679
17219223,0x6368FdCC35bE2adbF17C2A14ecEc8CF734355Ec9,0x6Fd8aAe9f85A7Db14c45453daAB81aa3085E4bA3,14579573292155047154,0,0,7965116654243769,1627133243
17221369,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,27940577625125640072,0,0,15043038493039843,1627138057
17221520,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,13127217054704948439,0,0,6968920094841644,1627138499
17222035,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,139765825406429176461,0,0,70522116881298336,1627139561
17222035,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,61942564625852823351,0,0,29248455462474384,1627139561
17222289,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,15203313600153061760,0,0,7003370393463676,1627140085
17222378,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,6955766531236156,15010430549276322660,0,1627140353
17222545,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,25199122270826972494,0,0,11570281990051468,1627140741
17222600,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6Fd8aAe9f85A7Db14c45453daAB81aa3085E4bA3,16815066021840383273,0,0,7618887895796427,1627140855
17222622,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,24962059578295195930,0,0,11163205272468429,1627140899
17222655,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,14753774070077396584,0,0,6516743227399556,1627140965
17222923,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,52554765730619006633,0,0,22737351479224666,1627141649
17223129,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,34411511082548516,78426827532093728146,0,1627142201
17223138,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,13050827239002299,28768135249529107264,0,1627142219
17223163,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,11319127121797195,24534116976656479568,0,1627142269
17223385,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,43890617146826477,91640812200999963963,0,1627142860
17223445,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0x65C37f48781a555e2AD5542e4306ebAb1Ae93Cd7,0,15093619632465646,30289119308456366646,0,1627142984
17223746,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,7162854975097614,14164200235907751854,0,1627143734
17224163,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6Fd8aAe9f85A7Db14c45453daAB81aa3085E4bA3,13816406915179910743,0,0,6946109529340999,1627144721
17224996,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0x65C37f48781a555e2AD5542e4306ebAb1Ae93Cd7,0,21468754993843314,42048757709640904643,0,1627146769
17225149,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,28176381478362581,53439357830299419054,0,1627147261
17225667,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,36863780496053266,67082955317758698917,0,1627148337
17225669,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xCcCEc4A90b3435065f5e1feC6346be9Da1B7B5eD,3407219447432387170,0,0,1902694297793780,1627148341
17225979,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,7647135945343844,13563569349115621658,0,1627149105
17226418,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0x65C37f48781a555e2AD5542e4306ebAb1Ae93Cd7,0,31095513512284512,54570782455919264198,0,1627150139
17226519,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0x65C37f48781a555e2AD5542e4306ebAb1Ae93Cd7,0,33226028559373483,57608927017729689386,0,1627150349
17226856,0x83184d7Dda7eed27048C7E2E912B6ECdddC342fe,0x65C37f48781a555e2AD5542e4306ebAb1Ae93Cd7,0,36935712637811059,63207200509497515456,0,1627151183
17227010,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,40399735419283528,68150369338328292002,0,1627151765
17227030,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x905DCc700fcce9a49b7D907E371230995a45ebCE,0,86670369789239959,142838027034701847504,0,1627151845
