block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21054037,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,2482537810000001441,0,0,27732063005394779,1636209856
21055288,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,8184966652580921,749356250099247542,0,1636212562
21055347,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,10230415712798599,911690503545991093,0,1636212684
21056016,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,3609170356767792,315227362497227037,0,1636214230
21056098,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,9624268075523792,824821010439411166,0,1636214492
21066182,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x9cF2d4266c8349c894CFD640f602e70Eb74D41b4,0,3383950511573830,284682397520589378,0,1636236521
21079544,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,2484964851293220738,0,0,28321053975422175,1636265757
21079544,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x368C321357cd53EaC0B096bD31B0c85f0D8C9d44,144847437863021727,0,0,1580840287830981,1636265757
21079678,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,12298593498653753,1102790533082932860,0,1636266033
21085169,0xD289d8d756902224B512CfeC702462C700692e16,0x368C321357cd53EaC0B096bD31B0c85f0D8C9d44,265724358213295983,0,0,2986165177935291,1636278141
21088951,0xD289d8d756902224B512CfeC702462C700692e16,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,4060518460651766,358613538502240085,0,1636286468
21111249,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x523896507609D02B7E8d9B77FaEB5D03E3729574,0,6102268028052494,531089552229362427,0,1636334115
21124093,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,747248374010077910,0,0,8504830656653500,1636362483
21162766,0xc82Ff3730c2E260A4e9a18f79AD206bbfa856249,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,426357141696731923,0,0,4760053890677150,1636448418
21169705,0xc82Ff3730c2E260A4e9a18f79AD206bbfa856249,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,748400051150905325,0,0,8198036904638990,1636463592
21180153,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,548277587890625000,0,0,5881965919246750,1636485763
21207090,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0,3461699265870025,321910223286931998,0,1636544572
21214198,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x7fAe2A82d421716C8766f05b643Fd902A014F130,0,11343276930133627,1032064540919386194,0,1636560536
21219217,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,922642380290712336,0,0,10098524321430626,1636571746
21221695,0xFff159420e81423051A151D533bA43143B42a102,0xFff159420e81423051A151D533bA43143B42a102,838720715805648731,0,0,8924404314490957,1636577391
21221899,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,1036555175781250000,0,0,10707880496862841,1636577816
21223254,0xFff159420e81423051A151D533bA43143B42a102,0xFff159420e81423051A151D533bA43143B42a102,1211241889002431705,0,0,12083223864067426,1636581026
21226373,0xc82Ff3730c2E260A4e9a18f79AD206bbfa856249,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,9742465111434739,974331111898068698,0,1636588358
21235334,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x523896507609D02B7E8d9B77FaEB5D03E3729574,0,6012918745682313,586967404419238350,0,1636609676
21238064,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,3277322550237226,315436705347480312,0,1636615851
21261443,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,6459607377413204,612681702168626498,0,1636669412
21266043,0xAD51824AE0bD74C13Eb60CdC20064dc48769119A,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,6793792724609375232,0,0,64908483484921274,1636681990
21266086,0xbeB6e0aE5616559663DDC202e6ba00Dfdedc098C,0xbeB6e0aE5616559663DDC202e6ba00Dfdedc098C,0,60787875927112795,6367245733307385435,0,1636682080
21275326,0xc82Ff3730c2E260A4e9a18f79AD206bbfa856249,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,884486878102792331,0,0,9112754843320271,1636703906
21278070,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,700000000000000000,0,0,7036288787223381,1636710210
21278095,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,7832982041306962,773701326487362323,0,1636710264
21278661,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,872716445616637532,0,0,8769780283276128,1636711563
21281801,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,8663417530894714,857174372668081970,0,1636718750
21295897,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,6802291993225589,657334491320485651,0,1636749268
21309701,0x484F20426f84836648D75f81fd3213694c38c4BF,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,860669819137638978,0,0,8825777309630298,1636779482
21312358,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x78f3F73C9445b1B8482115e7BFaF551cff5B6F43,0,6054460676417090,589386126975124930,0,1636785856
21327991,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x4B8110F73Ff9ed8C08ba93A33aABB3F472170496,0,6079160731111960,581018095910100485,0,1636821129
21345411,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,840000000000000000,0,0,8701482975869615,1636863792
21345437,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,7801528866765356,749680210917275380,0,1636863844
21356388,0x484F20426f84836648D75f81fd3213694c38c4BF,0x484F20426f84836648D75f81fd3213694c38c4BF,782000613817835672,0,0,8085617959871159,1636887307
21356508,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,4822621729732595,465940053677694601,0,1636887609
21413458,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,620000000000000000,0,0,6363771686338261,1637011860
21418012,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,970000000000000000,0,0,9713926566363024,1637022148
21419923,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,690000000000000000,0,0,6736080981609835,1637026551
21428165,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,13153504535550056,1326221647937486154,0,1637044544
21434346,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,1190000000000000000,0,0,11757393696616086,1637057972
21440704,0x484F20426f84836648D75f81fd3213694c38c4BF,0x951E38875a93df95bbd24fe31f409b7933B35BED,0,6646683262322394,674042195709302362,0,1637072495
21451077,0xc82Ff3730c2E260A4e9a18f79AD206bbfa856249,0x368C321357cd53EaC0B096bD31B0c85f0D8C9d44,512266840402718226,0,0,5033818484739619,1637095981
21460949,0xc82Ff3730c2E260A4e9a18f79AD206bbfa856249,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,900000490083852143,0,0,8656465537755836,1637118536
21468579,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,4055798151936680,422201758466356376,0,1637135042
21473967,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,6972377467328963,713406429233684486,0,1637146677
21475939,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,4179162678058776,420258794736407636,0,1637150749
21484841,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,8084255136630183,797794537635687250,0,1637171428
21485873,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,7360316115091355,709471350948311082,0,1637173700
21506901,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x368C321357cd53EaC0B096bD31B0c85f0D8C9d44,358356429355492048,0,0,3715970209431894,1637219044
21510789,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,699768420512250709,0,0,7137438162968084,1637227585
21517450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1016539349339757295,0,0,10097285391102614,1637242507
21518104,0xFff159420e81423051A151D533bA43143B42a102,0xFff159420e81423051A151D533bA43143B42a102,0,3401382618597148,343930278003104970,0,1637243856
21521287,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,738193331676416250,0,0,7213757068699961,1637251043
21522999,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,860544327523909971,0,0,8208375344132736,1637254947
21523741,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,7916254672746367,825387122369680064,0,1637256737
21529073,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,7151527267400748,728276984683807983,0,1637270436
21533052,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,690000000000000000,0,0,6739409127877618,1637279292
21542611,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,7633798877159105,775865031308865072,0,1637301163
21547196,0xF5d45c6A35e842BA896d13238Be64dca1E5D7078,0xF5d45c6A35e842BA896d13238Be64dca1E5D7078,0,5736785926204948,571125504321009984,0,1637310777
21551548,0xFff159420e81423051A151D533bA43143B42a102,0xFff159420e81423051A151D533bA43143B42a102,0,1549244646758620,152517482121552398,0,1637319784
21556597,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,6333109780072501,616045627409926405,0,1637330509
21573852,0x9f1920B6DbF08C115f67Acd90236448965607E17,0x9f1920B6DbF08C115f67Acd90236448965607E17,0,6289444982723257,600228711169376349,0,1637366964
21601706,0xFae20E1778E29660BdCBE3639F7da35C44507D92,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,562957763671875008,0,0,5867313288619562,1637431688
21603036,0xd35Ea2f18E348D00672892B0e66c7Bf74bD571ad,0xd35Ea2f18E348D00672892B0e66c7Bf74bD571ad,0,5883681285648351,561162098048310996,0,1637434436
21608409,0x24f110eb77605D37e7f0414529281fc4a5Eb69af,0x24f110eb77605D37e7f0414529281fc4a5Eb69af,0,7144938782199738,668297842217084454,0,1637446100
21621632,0x0cc0958559c5D864565758298De39c7627C267B5,0x0cc0958559c5D864565758298De39c7627C267B5,238337350117831,0,0,2560000000000,1637475545
21624764,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,379749833583241018,0,0,4054358606061231,1637482653
21651002,0x7C2Cd76b6c3a3C50Ab730C6719C1C9a5eB537664,0x7C2Cd76b6c3a3C50Ab730C6719C1C9a5eB537664,798244959090606503,0,0,8365109990834074,1637541065
21656590,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,990926059030631346,0,0,10097589831904364,1637552859
21678440,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,6384427715679756,626345602561026826,0,1637602060
21684302,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,485018893865413752,0,0,4925258669047816,1637615565
21695203,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xC4e90AE0298E0e7BE0102Cce64089231e1E2D67C,0,7220410537859814,704356584489515064,0,1637641592
21701301,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x8a1d216E23Bc3d28e556aE1B19b3d5D450fc51e5,469144407485506551,0,0,4798164520222913,1637656581
21709233,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,7420655514336980,718398485337489920,0,1637676638
21711030,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,5997527891118631,568984638798714574,0,1637680867
21712622,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,6161752048672710,574043997976664374,0,1637684280
21715717,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,7175171624305710,655401151163733275,0,1637690924
21721681,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xfdE70f90Af2341ACB537778b20951E7Bc95DFB02,0,5867013886936109,525759441301425988,0,1637704822
